age,stat_time_day,conversion,cpm,impressions,clicks,cost_per_conversion,conversion_rate,spend,cpc,ctr,shopping,shopping_sigla
AGE_45_54,2026-06-21 00:00:00,0,1.81,891,0,0.0,0.0,1.61,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-21 00:00:00,0,1.46,624,0,0.0,0.0,0.91,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-22 00:00:00,0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-22 00:00:00,0,1.66,1868,0,0.0,0.0,3.11,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-22 00:00:00,0,1.98,1057,0,0.0,0.0,2.09,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-22 00:00:00,0,1.9,838,0,0.0,0.0,1.59,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-22 00:00:00,0,1.54,765,0,0.0,0.0,1.18,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-22 00:00:00,0,1.5,586,0,0.0,0.0,0.88,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-23 00:00:00,0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-23 00:00:00,0,1.79,1602,0,0.0,0.0,2.86,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-23 00:00:00,0,2.14,1071,0,0.0,0.0,2.29,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-23 00:00:00,0,1.92,811,0,0.0,0.0,1.56,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-23 00:00:00,0,1.86,741,0,0.0,0.0,1.38,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-23 00:00:00,0,1.7,569,0,0.0,0.0,0.97,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-24 00:00:00,0,5.0,2,0,0.0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-24 00:00:00,0,2.05,1283,0,0.0,0.0,2.63,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-24 00:00:00,0,2.49,876,0,0.0,0.0,2.18,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-24 00:00:00,0,2.14,658,0,0.0,0.0,1.41,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-24 00:00:00,0,2.22,662,0,0.0,0.0,1.47,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-24 00:00:00,0,1.97,508,0,0.0,0.0,1.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-25 00:00:00,0,3.33,3,0,0.0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-25 00:00:00,0,1.89,1314,0,0.0,0.0,2.48,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-25 00:00:00,0,2.21,872,0,0.0,0.0,1.93,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-25 00:00:00,0,2.29,664,0,0.0,0.0,1.52,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-25 00:00:00,0,1.94,738,0,0.0,0.0,1.43,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-25 00:00:00,0,1.98,640,0,0.0,0.0,1.27,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-26 00:00:00,0,2.18,1121,0,0.0,0.0,2.44,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-26 00:00:00,0,2.32,725,0,0.0,0.0,1.68,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-26 00:00:00,0,2.29,608,0,0.0,0.0,1.39,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-26 00:00:00,0,1.8,632,0,0.0,0.0,1.14,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-26 00:00:00,0,1.8,438,0,0.0,0.0,0.79,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-27 00:00:00,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-27 00:00:00,0,2.05,1101,0,0.0,0.0,2.26,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-27 00:00:00,0,1.87,626,0,0.0,0.0,1.17,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-27 00:00:00,0,1.85,556,0,0.0,0.0,1.03,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-27 00:00:00,0,2.01,533,0,0.0,0.0,1.07,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-27 00:00:00,0,1.97,365,0,0.0,0.0,0.72,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-28 00:00:00,0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-28 00:00:00,0,1.29,1009,0,0.0,0.0,1.3,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-28 00:00:00,0,1.97,569,0,0.0,0.0,1.12,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-28 00:00:00,0,1.56,493,0,0.0,0.0,0.77,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-28 00:00:00,0,1.89,528,0,0.0,0.0,1.0,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-28 00:00:00,0,1.61,366,0,0.0,0.0,0.59,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-29 00:00:00,0,2.25,569,0,0.0,0.0,1.28,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-29 00:00:00,0,2.23,354,0,0.0,0.0,0.79,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-29 00:00:00,0,1.66,290,0,0.0,0.0,0.48,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-29 00:00:00,0,1.55,348,0,0.0,0.0,0.54,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-29 00:00:00,0,2.47,215,0,0.0,0.0,0.53,0.0,0.0,Nacoes Shopping,NS
NONE,2026-06-30 00:00:00,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-06-30 00:00:00,0,1.61,31,0,0.0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-06-30 00:00:00,0,0.59,17,0,0.0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-06-30 00:00:00,0,3.33,12,0,0.0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-06-30 00:00:00,0,2.86,14,0,0.0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-06-30 00:00:00,0,6.67,12,0,0.0,0.0,0.08,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-01 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-01 00:00:00,0,1.45,16378,0,0.0,0.0,23.76,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-01 00:00:00,0,1.62,10000,0,0.0,0.0,16.18,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-01 00:00:00,0,2.35,7731,0,0.0,0.0,18.19,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-01 00:00:00,0,1.64,5734,0,0.0,0.0,9.42,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-01 00:00:00,0,3.23,3690,0,0.0,0.0,11.91,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-02 00:00:00,0,0.0,14,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-02 00:00:00,0,2.42,21898,0,0.0,0.0,52.99,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-02 00:00:00,0,2.76,17067,0,0.0,0.0,47.09,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-02 00:00:00,0,3.14,11198,0,0.0,0.0,35.21,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-02 00:00:00,0,2.54,7207,0,0.0,0.0,18.33,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-02 00:00:00,0,3.99,5128,0,0.0,0.0,20.46,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-03 00:00:00,0,1.52,33,0,0.0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-03 00:00:00,0,2.78,18751,0,0.0,0.0,52.07,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-03 00:00:00,0,3.21,15575,0,0.0,0.0,49.99,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-03 00:00:00,0,3.17,10083,0,0.0,0.0,31.97,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-03 00:00:00,0,2.77,5913,0,0.0,0.0,16.4,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-03 00:00:00,0,3.61,3990,0,0.0,0.0,14.41,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-04 00:00:00,0,2.73,44,0,0.0,0.0,0.12,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-04 00:00:00,0,3.09,15713,0,0.0,0.0,48.59,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-04 00:00:00,0,3.45,14319,0,0.0,0.0,49.46,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-04 00:00:00,0,3.66,9450,0,0.0,0.0,34.57,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-04 00:00:00,0,3.4,5212,0,0.0,0.0,17.7,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-04 00:00:00,0,3.39,3862,0,0.0,0.0,13.09,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-05 00:00:00,0,3.45,29,0,0.0,0.0,0.1,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-05 00:00:00,0,3.12,6062,0,0.0,0.0,18.89,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-05 00:00:00,0,4.39,5883,0,0.0,0.0,25.85,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-05 00:00:00,0,4.87,3968,0,0.0,0.0,19.31,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-05 00:00:00,0,4.59,2119,0,0.0,0.0,9.72,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-05 00:00:00,0,5.51,1507,0,0.0,0.0,8.31,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-06 00:00:00,0,8.0,5,0,0.0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-06 00:00:00,0,6.15,623,0,0.0,0.0,3.83,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-06 00:00:00,0,8.22,1210,0,0.0,0.0,9.95,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-06 00:00:00,0,10.2,930,0,0.0,0.0,9.49,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-06 00:00:00,0,11.5,399,0,0.0,0.0,4.59,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-06 00:00:00,0,14.93,300,0,0.0,0.0,4.48,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-07 00:00:00,0,3.33,3,0,0.0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-07-07 00:00:00,0,6.27,241,0,0.0,0.0,1.51,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-07 00:00:00,0,9.76,504,0,0.0,0.0,4.92,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-07 00:00:00,0,13.58,332,0,0.0,0.0,4.51,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-07 00:00:00,0,16.91,162,0,0.0,0.0,2.74,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-07-07 00:00:00,0,22.02,119,0,0.0,0.0,2.62,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-08 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-07-08 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-07-08 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-09 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-07-09 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-10 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-11 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-12 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-13 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-19 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-07-25 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-04 00:00:00,0,0.81,124,0,0.0,0.0,0.1,0.0,0.0,Nacoes Shopping,NS
AGE_25_34,2026-08-04 00:00:00,0,1.15,61,0,0.0,0.0,0.07,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-08-04 00:00:00,0,0.71,28,0,0.0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
AGE_45_54,2026-08-04 00:00:00,0,1.67,30,0,0.0,0.0,0.05,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-08-04 00:00:00,0,0.0,21,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-05 00:00:00,0,2.28,10010,16,0.0,0.0,22.78,1.42,0.16,Nacoes Shopping,NS
AGE_25_34,2026-08-05 00:00:00,0,4.62,6355,9,0.0,0.0,29.33,3.26,0.14,Nacoes Shopping,NS
AGE_35_44,2026-08-05 00:00:00,0,1.84,4730,7,0.0,0.0,8.72,1.25,0.15,Nacoes Shopping,NS
AGE_45_54,2026-08-05 00:00:00,0,1.54,3467,5,0.0,0.0,5.35,1.07,0.14,Nacoes Shopping,NS
AGE_55_100,2026-08-05 00:00:00,0,1.47,2666,11,0.0,0.0,3.93,0.36,0.41,Nacoes Shopping,NS
NONE,2026-08-06 00:00:00,0,1.25,16,0,0.0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-06 00:00:00,0,1.67,9177,13,0.0,0.0,15.36,1.18,0.14,Nacoes Shopping,NS
AGE_25_34,2026-08-06 00:00:00,0,2.22,5819,9,0.0,0.0,12.89,1.43,0.15,Nacoes Shopping,NS
AGE_35_44,2026-08-06 00:00:00,0,1.97,4363,7,0.0,0.0,8.59,1.23,0.16,Nacoes Shopping,NS
AGE_45_54,2026-08-06 00:00:00,0,1.77,2992,3,0.0,0.0,5.3,1.77,0.1,Nacoes Shopping,NS
AGE_55_100,2026-08-06 00:00:00,0,1.7,2415,6,0.0,0.0,4.1,0.68,0.25,Nacoes Shopping,NS
NONE,2026-08-07 00:00:00,0,2.35,17,0,0.0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-07 00:00:00,0,2.19,8574,13,0.0,0.0,18.77,1.44,0.15,Nacoes Shopping,NS
AGE_25_34,2026-08-07 00:00:00,0,2.3,5443,13,0.0,0.0,12.54,0.96,0.24,Nacoes Shopping,NS
AGE_35_44,2026-08-07 00:00:00,0,2.22,4089,8,0.0,0.0,9.07,1.13,0.2,Nacoes Shopping,NS
AGE_45_54,2026-08-07 00:00:00,0,2.59,2829,3,0.0,0.0,7.32,2.44,0.11,Nacoes Shopping,NS
AGE_55_100,2026-08-07 00:00:00,0,1.58,2494,4,0.0,0.0,3.95,0.99,0.16,Nacoes Shopping,NS
NONE,2026-08-08 00:00:00,0,1.0,10,0,0.0,0.0,0.01,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-08 00:00:00,0,3.13,7977,28,0.0,0.0,24.93,0.89,0.35,Nacoes Shopping,NS
AGE_25_34,2026-08-08 00:00:00,0,3.08,5563,18,0.0,0.0,17.13,0.95,0.32,Nacoes Shopping,NS
AGE_35_44,2026-08-08 00:00:00,0,2.56,4160,4,0.0,0.0,10.65,2.66,0.1,Nacoes Shopping,NS
AGE_45_54,2026-08-08 00:00:00,0,2.93,2751,5,0.0,0.0,8.07,1.61,0.18,Nacoes Shopping,NS
AGE_55_100,2026-08-08 00:00:00,0,1.77,2308,2,0.0,0.0,4.08,2.04,0.09,Nacoes Shopping,NS
NONE,2026-08-09 00:00:00,0,2.0,10,0,0.0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-09 00:00:00,0,2.51,8443,19,0.0,0.0,21.17,1.11,0.23,Nacoes Shopping,NS
AGE_25_34,2026-08-09 00:00:00,0,2.66,5734,24,0.0,0.0,15.28,0.64,0.42,Nacoes Shopping,NS
AGE_35_44,2026-08-09 00:00:00,0,3.91,4160,9,0.0,0.0,16.28,1.81,0.22,Nacoes Shopping,NS
AGE_45_54,2026-08-09 00:00:00,0,2.49,2644,10,0.0,0.0,6.59,0.66,0.38,Nacoes Shopping,NS
AGE_55_100,2026-08-09 00:00:00,0,1.62,2286,1,0.0,0.0,3.7,3.7,0.04,Nacoes Shopping,NS
NONE,2026-08-10 00:00:00,0,2.86,14,0,0.0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-10 00:00:00,0,2.27,7689,9,0.0,0.0,17.46,1.94,0.12,Nacoes Shopping,NS
AGE_25_34,2026-08-10 00:00:00,0,2.32,5426,21,0.0,0.0,12.59,0.6,0.39,Nacoes Shopping,NS
AGE_35_44,2026-08-10 00:00:00,0,7.0,3931,10,0.0,0.0,27.5,2.75,0.25,Nacoes Shopping,NS
AGE_45_54,2026-08-10 00:00:00,0,1.66,2517,6,0.0,0.0,4.17,0.7,0.24,Nacoes Shopping,NS
AGE_55_100,2026-08-10 00:00:00,0,1.51,2131,10,0.0,0.0,3.22,0.32,0.47,Nacoes Shopping,NS
NONE,2026-08-11 00:00:00,0,2.31,13,0,0.0,0.0,0.03,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-11 00:00:00,0,1.99,7138,16,0.0,0.0,14.23,0.89,0.22,Nacoes Shopping,NS
AGE_25_34,2026-08-11 00:00:00,0,2.35,5268,18,0.0,0.0,12.39,0.69,0.34,Nacoes Shopping,NS
AGE_35_44,2026-08-11 00:00:00,0,3.25,4028,10,0.0,0.0,13.09,1.31,0.25,Nacoes Shopping,NS
AGE_45_54,2026-08-11 00:00:00,0,1.74,2442,3,0.0,0.0,4.26,1.42,0.12,Nacoes Shopping,NS
AGE_55_100,2026-08-11 00:00:00,0,1.65,2151,5,0.0,0.0,3.55,0.71,0.23,Nacoes Shopping,NS
NONE,2026-08-12 00:00:00,0,4.58,24,0,0.0,0.0,0.11,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-12 00:00:00,0,2.5,7068,26,0.0,0.0,17.7,0.68,0.37,Nacoes Shopping,NS
AGE_25_34,2026-08-12 00:00:00,0,2.14,4946,15,0.0,0.0,10.56,0.7,0.3,Nacoes Shopping,NS
AGE_35_44,2026-08-12 00:00:00,0,2.04,3794,9,0.0,0.0,7.75,0.86,0.24,Nacoes Shopping,NS
AGE_45_54,2026-08-12 00:00:00,0,4.47,2540,8,0.0,0.0,11.35,1.42,0.31,Nacoes Shopping,NS
AGE_55_100,2026-08-12 00:00:00,0,1.8,2135,6,0.0,0.0,3.84,0.64,0.28,Nacoes Shopping,NS
NONE,2026-08-13 00:00:00,0,4.76,21,0,0.0,0.0,0.1,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-13 00:00:00,0,2.62,7277,10,0.0,0.0,19.09,1.91,0.14,Nacoes Shopping,NS
AGE_25_34,2026-08-13 00:00:00,0,5.17,4781,15,0.0,0.0,24.74,1.65,0.31,Nacoes Shopping,NS
AGE_35_44,2026-08-13 00:00:00,0,1.95,3616,8,0.0,0.0,7.05,0.88,0.22,Nacoes Shopping,NS
AGE_45_54,2026-08-13 00:00:00,0,4.6,2533,8,0.0,0.0,11.64,1.46,0.32,Nacoes Shopping,NS
AGE_55_100,2026-08-13 00:00:00,0,1.76,2024,3,0.0,0.0,3.56,1.19,0.15,Nacoes Shopping,NS
NONE,2026-08-14 00:00:00,0,5.29,17,0,0.0,0.0,0.09,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-14 00:00:00,0,1.99,6762,16,0.0,0.0,13.47,0.84,0.24,Nacoes Shopping,NS
AGE_25_34,2026-08-14 00:00:00,0,4.81,4636,17,0.0,0.0,22.28,1.31,0.37,Nacoes Shopping,NS
AGE_35_44,2026-08-14 00:00:00,0,1.98,3486,7,0.0,0.0,6.9,0.99,0.2,Nacoes Shopping,NS
AGE_45_54,2026-08-14 00:00:00,0,1.75,2342,7,0.0,0.0,4.1,0.59,0.3,Nacoes Shopping,NS
AGE_55_100,2026-08-14 00:00:00,0,1.63,2009,5,0.0,0.0,3.27,0.65,0.25,Nacoes Shopping,NS
NONE,2026-08-15 00:00:00,0,1.67,12,0,0.0,0.0,0.02,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-15 00:00:00,0,6.5,7701,22,0.0,0.0,50.07,2.28,0.29,Nacoes Shopping,NS
AGE_25_34,2026-08-15 00:00:00,0,3.53,5352,13,0.0,0.0,18.87,1.45,0.24,Nacoes Shopping,NS
AGE_35_44,2026-08-15 00:00:00,0,2.08,3845,7,0.0,0.0,7.99,1.14,0.18,Nacoes Shopping,NS
AGE_45_54,2026-08-15 00:00:00,0,1.92,2635,1,0.0,0.0,5.06,5.06,0.04,Nacoes Shopping,NS
AGE_55_100,2026-08-15 00:00:00,0,1.86,2116,5,0.0,0.0,3.94,0.79,0.24,Nacoes Shopping,NS
NONE,2026-08-16 00:00:00,0,4.0,10,0,0.0,0.0,0.04,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-16 00:00:00,0,6.18,3993,10,0.0,0.0,24.66,2.47,0.25,Nacoes Shopping,NS
AGE_25_34,2026-08-16 00:00:00,0,4.48,2686,10,0.0,0.0,12.03,1.2,0.37,Nacoes Shopping,NS
AGE_35_44,2026-08-16 00:00:00,0,2.22,1980,4,0.0,0.0,4.4,1.1,0.2,Nacoes Shopping,NS
AGE_45_54,2026-08-16 00:00:00,0,1.8,1298,1,0.0,0.0,2.34,2.34,0.08,Nacoes Shopping,NS
AGE_55_100,2026-08-16 00:00:00,0,1.88,953,0,0.0,0.0,1.79,0.0,0.0,Nacoes Shopping,NS
NONE,2026-08-17 00:00:00,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-17 00:00:00,0,29.56,227,1,0.0,0.0,6.71,6.71,0.44,Nacoes Shopping,NS
AGE_25_34,2026-08-17 00:00:00,0,317.71,175,2,0.0,0.0,55.6,27.8,1.14,Nacoes Shopping,NS
AGE_35_44,2026-08-17 00:00:00,0,41.3,92,2,0.0,0.0,3.8,1.9,2.17,Nacoes Shopping,NS
AGE_45_54,2026-08-17 00:00:00,0,0.0,46,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-08-17 00:00:00,0,0.0,13,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-08-18 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_18_24,2026-08-18 00:00:00,0,258.05,87,5,0.0,0.0,22.45,4.49,5.75,Nacoes Shopping,NS
AGE_25_34,2026-08-18 00:00:00,0,0.0,96,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_35_44,2026-08-18 00:00:00,0,39.47,38,1,0.0,0.0,1.5,1.5,2.63,Nacoes Shopping,NS
AGE_45_54,2026-08-18 00:00:00,0,0.0,23,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
AGE_55_100,2026-08-18 00:00:00,0,0.0,7,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-08-19 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
NONE,2026-08-20 00:00:00,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Nacoes Shopping,NS
