country_code,cost_per_conversion,clicks,spend,conversion_rate,ctr,conversion,cpm,impressions,cpc,shopping,shopping_sigla
None,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,Nacoes Shopping,NS
BR,0.0,97238,11931.14,0.0,2.19,0,2.69,4442381,0.12,Nacoes Shopping,NS
