stat_time_day,video_watched_6s,average_video_play,ctr,average_video_play_per_user,video_views_p50,profile_visits,impressions,engaged_view_15s,conversion_rate,cpc,cpm,likes,shares,video_play_actions,video_views_p25,cost_per_conversion,clicks_on_music_disc,follows,video_watched_2s,engaged_view,total_complete_payment_rate,spend,video_views_p100,comments,video_views_p75,clicks,conversion,shopping,shopping_sigla
2025-08-26 00:00:00,194,1.35,0.0,1.97,40,14,9640,50,0.0,0.0,2.34,8,0,9587,121,0.0,0,1,958,197,0.0,22.59,15,0,23,0,0,Nacoes Shopping,NS
2025-08-21 00:00:00,271,1.32,0.0,2.11,56,22,13859,74,0.0,0.0,2.19,8,1,13772,180,0.0,0,2,1221,269,0.0,30.41,20,0,37,0,0,Nacoes Shopping,NS
2025-09-10 00:00:00,435,1.18,0.0,1.25,239,49,30245,133,0.0,0.0,2.54,13,0,29982,565,0.0,0,4,1987,434,0.0,76.72,86,1,128,0,0,Nacoes Shopping,NS
2025-09-05 00:00:00,578,1.46,0.0,1.84,131,36,20232,225,0.0,0.0,2.21,44,1,20082,330,0.0,0,25,2486,582,0.0,44.79,32,0,65,0,0,Nacoes Shopping,NS
2025-08-16 00:00:00,417,1.5,0.0,2.33,118,38,17279,137,0.0,0.0,2.08,19,0,17172,295,0.0,0,1,1642,410,0.0,35.97,33,2,64,0,0,Nacoes Shopping,NS
2025-10-12 00:00:00,204,1.14,0.0,2.21,47,26,17636,54,0.0,0.0,1.98,6,0,17533,128,0.0,0,1,1172,201,0.0,34.86,16,0,32,0,0,Nacoes Shopping,NS
2025-10-07 00:00:00,224,1.26,0.0,2.19,56,23,17068,69,0.0,0.0,2.23,6,0,16926,142,0.0,0,2,1399,222,0.0,38.01,15,0,28,0,0,Nacoes Shopping,NS
2025-10-02 00:00:00,284,1.33,0.0,2.46,87,21,18686,96,0.0,0.0,2.18,13,0,18515,199,0.0,0,0,1612,284,0.0,40.75,29,1,47,0,0,Nacoes Shopping,NS
2025-09-16 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2025-10-11 00:00:00,201,1.14,0.0,2.29,56,31,17101,63,0.0,0.0,2.03,6,0,16977,133,0.0,0,2,1118,202,0.0,34.72,17,0,27,0,0,Nacoes Shopping,NS
2025-10-06 00:00:00,239,1.56,0.0,2.82,60,17,17926,71,0.0,0.0,2.09,12,0,17806,143,0.0,0,1,1384,231,0.0,37.39,23,0,32,0,0,Nacoes Shopping,NS
2025-10-01 00:00:00,298,1.29,0.0,2.5,78,31,19121,112,0.0,0.0,2.1,17,0,18930,192,0.0,0,2,1646,289,0.0,40.19,22,1,37,0,0,Nacoes Shopping,NS
