platform,stat_time_day,conversion,clicks,spend,cpm,conversion_rate,ctr,cost_per_conversion,impressions,cpc,shopping,shopping_sigla
IPAD,2025-08-27 00:00:00,0,0,0.03,3.0,0.0,0.0,0.0,10,0.0,Nacoes Shopping,NS
ANDROID,2025-08-28 00:00:00,0,0,15.99,2.29,0.0,0.0,0.0,6991,0.0,Nacoes Shopping,NS
IPHONE,2025-08-28 00:00:00,0,0,9.39,2.18,0.0,0.0,0.0,4310,0.0,Nacoes Shopping,NS
IPAD,2025-08-28 00:00:00,0,0,0.04,2.35,0.0,0.0,0.0,17,0.0,Nacoes Shopping,NS
ANDROID,2025-08-29 00:00:00,0,0,28.24,2.21,0.0,0.0,0.0,12750,0.0,Nacoes Shopping,NS
IPHONE,2025-08-29 00:00:00,0,0,17.81,2.21,0.0,0.0,0.0,8049,0.0,Nacoes Shopping,NS
IPAD,2025-08-29 00:00:00,0,0,0.07,3.68,0.0,0.0,0.0,19,0.0,Nacoes Shopping,NS
ANDROID,2025-08-30 00:00:00,0,0,31.72,2.22,0.0,0.0,0.0,14317,0.0,Nacoes Shopping,NS
IPHONE,2025-08-30 00:00:00,0,0,21.52,2.3,0.0,0.0,0.0,9352,0.0,Nacoes Shopping,NS
IPAD,2025-08-30 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,22,0.0,Nacoes Shopping,NS
WAP,2025-08-30 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-08-31 00:00:00,0,0,26.75,2.15,0.0,0.0,0.0,12434,0.0,Nacoes Shopping,NS
IPHONE,2025-08-31 00:00:00,0,0,18.82,2.27,0.0,0.0,0.0,8305,0.0,Nacoes Shopping,NS
IPAD,2025-08-31 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,13,0.0,Nacoes Shopping,NS
ANDROID,2025-09-01 00:00:00,0,0,23.25,1.9,0.0,0.0,0.0,12217,0.0,Nacoes Shopping,NS
IPHONE,2025-09-01 00:00:00,0,0,18.71,2.08,0.0,0.0,0.0,8984,0.0,Nacoes Shopping,NS
IPAD,2025-09-01 00:00:00,0,0,0.07,2.69,0.0,0.0,0.0,26,0.0,Nacoes Shopping,NS
ANDROID,2025-09-02 00:00:00,0,0,26.25,2.14,0.0,0.0,0.0,12261,0.0,Nacoes Shopping,NS
IPHONE,2025-09-02 00:00:00,0,0,15.66,2.03,0.0,0.0,0.0,7705,0.0,Nacoes Shopping,NS
IPAD,2025-09-02 00:00:00,0,0,0.07,2.0,0.0,0.0,0.0,35,0.0,Nacoes Shopping,NS
ANDROID,2025-09-03 00:00:00,0,0,28.3,2.29,0.0,0.0,0.0,12375,0.0,Nacoes Shopping,NS
IPHONE,2025-09-03 00:00:00,0,0,14.06,2.31,0.0,0.0,0.0,6081,0.0,Nacoes Shopping,NS
IPAD,2025-09-03 00:00:00,0,0,0.01,0.53,0.0,0.0,0.0,19,0.0,Nacoes Shopping,NS
WAP,2025-09-03 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
UNKNOWN,2025-09-04 00:00:00,0,0,0.02,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-04 00:00:00,0,0,28.71,2.44,0.0,0.0,0.0,11751,0.0,Nacoes Shopping,NS
IPHONE,2025-09-04 00:00:00,0,0,14.37,2.54,0.0,0.0,0.0,5651,0.0,Nacoes Shopping,NS
IPAD,2025-09-04 00:00:00,0,0,0.03,1.58,0.0,0.0,0.0,19,0.0,Nacoes Shopping,NS
WAP,2025-09-04 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-05 00:00:00,0,0,28.92,2.22,0.0,0.0,0.0,12998,0.0,Nacoes Shopping,NS
IPHONE,2025-09-05 00:00:00,0,0,15.8,2.19,0.0,0.0,0.0,7211,0.0,Nacoes Shopping,NS
IPAD,2025-09-05 00:00:00,0,0,0.07,3.04,0.0,0.0,0.0,23,0.0,Nacoes Shopping,NS
ANDROID,2025-09-06 00:00:00,0,0,26.41,2.22,0.0,0.0,0.0,11920,0.0,Nacoes Shopping,NS
IPHONE,2025-09-06 00:00:00,0,0,15.49,2.1,0.0,0.0,0.0,7379,0.0,Nacoes Shopping,NS
IPAD,2025-09-06 00:00:00,0,0,0.06,2.61,0.0,0.0,0.0,23,0.0,Nacoes Shopping,NS
ANDROID,2025-09-07 00:00:00,0,0,27.27,2.32,0.0,0.0,0.0,11770,0.0,Nacoes Shopping,NS
IPHONE,2025-09-07 00:00:00,0,0,14.71,2.07,0.0,0.0,0.0,7090,0.0,Nacoes Shopping,NS
IPAD,2025-09-07 00:00:00,0,0,0.02,0.95,0.0,0.0,0.0,21,0.0,Nacoes Shopping,NS
ANDROID,2025-09-08 00:00:00,0,0,24.65,2.25,0.0,0.0,0.0,10935,0.0,Nacoes Shopping,NS
IPHONE,2025-09-08 00:00:00,0,0,16.19,2.24,0.0,0.0,0.0,7240,0.0,Nacoes Shopping,NS
IPAD,2025-09-08 00:00:00,0,0,0.05,2.17,0.0,0.0,0.0,23,0.0,Nacoes Shopping,NS
ANDROID,2025-09-09 00:00:00,0,0,32.72,2.3,0.0,0.0,0.0,14240,0.0,Nacoes Shopping,NS
IPHONE,2025-09-09 00:00:00,0,0,23.89,2.37,0.0,0.0,0.0,10065,0.0,Nacoes Shopping,NS
IPAD,2025-09-09 00:00:00,0,0,0.07,3.18,0.0,0.0,0.0,22,0.0,Nacoes Shopping,NS
ANDROID,2025-09-10 00:00:00,0,0,42.83,2.47,0.0,0.0,0.0,17363,0.0,Nacoes Shopping,NS
IPHONE,2025-09-10 00:00:00,0,0,33.79,2.63,0.0,0.0,0.0,12852,0.0,Nacoes Shopping,NS
IPAD,2025-09-10 00:00:00,0,0,0.1,3.33,0.0,0.0,0.0,30,0.0,Nacoes Shopping,NS
ANDROID,2025-09-11 00:00:00,0,0,43.12,2.59,0.0,0.0,0.0,16640,0.0,Nacoes Shopping,NS
IPHONE,2025-09-11 00:00:00,0,0,34.18,2.81,0.0,0.0,0.0,12183,0.0,Nacoes Shopping,NS
IPAD,2025-09-11 00:00:00,0,0,0.14,3.5,0.0,0.0,0.0,40,0.0,Nacoes Shopping,NS
ANDROID,2025-09-12 00:00:00,0,0,43.79,2.75,0.0,0.0,0.0,15905,0.0,Nacoes Shopping,NS
IPHONE,2025-09-12 00:00:00,0,0,32.32,2.83,0.0,0.0,0.0,11415,0.0,Nacoes Shopping,NS
IPAD,2025-09-12 00:00:00,0,0,0.06,1.5,0.0,0.0,0.0,40,0.0,Nacoes Shopping,NS
ANDROID,2025-09-13 00:00:00,0,0,17.66,2.95,0.0,0.0,0.0,5979,0.0,Nacoes Shopping,NS
IPHONE,2025-09-13 00:00:00,0,0,12.48,2.91,0.0,0.0,0.0,4286,0.0,Nacoes Shopping,NS
IPAD,2025-09-13 00:00:00,0,0,0.03,3.0,0.0,0.0,0.0,10,0.0,Nacoes Shopping,NS
ANDROID,2025-09-14 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
IPHONE,2025-09-14 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-15 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-16 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-17 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-18 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-26 00:00:00,0,0,11.84,2.33,0.0,0.0,0.0,5083,0.0,Nacoes Shopping,NS
IPHONE,2025-09-26 00:00:00,0,0,8.28,2.23,0.0,0.0,0.0,3709,0.0,Nacoes Shopping,NS
IPAD,2025-09-26 00:00:00,0,0,0.03,4.29,0.0,0.0,0.0,7,0.0,Nacoes Shopping,NS
ANDROID,2025-09-27 00:00:00,0,0,24.48,2.41,0.0,0.0,0.0,10159,0.0,Nacoes Shopping,NS
IPHONE,2025-09-27 00:00:00,0,0,17.8,2.44,0.0,0.0,0.0,7302,0.0,Nacoes Shopping,NS
IPAD,2025-09-27 00:00:00,0,0,0.01,1.67,0.0,0.0,0.0,6,0.0,Nacoes Shopping,NS
ANDROID,2025-09-28 00:00:00,0,0,24.44,2.3,0.0,0.0,0.0,10632,0.0,Nacoes Shopping,NS
IPHONE,2025-09-28 00:00:00,0,0,18.31,2.4,0.0,0.0,0.0,7633,0.0,Nacoes Shopping,NS
IPAD,2025-09-28 00:00:00,0,0,0.03,1.88,0.0,0.0,0.0,16,0.0,Nacoes Shopping,NS
ANDROID,2025-09-29 00:00:00,0,0,25.51,2.51,0.0,0.0,0.0,10179,0.0,Nacoes Shopping,NS
IPHONE,2025-09-29 00:00:00,0,0,16.99,2.46,0.0,0.0,0.0,6903,0.0,Nacoes Shopping,NS
IPAD,2025-09-29 00:00:00,0,0,0.04,2.0,0.0,0.0,0.0,20,0.0,Nacoes Shopping,NS
UNKNOWN,2025-09-30 00:00:00,0,0,0.01,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-09-30 00:00:00,0,0,25.98,2.51,0.0,0.0,0.0,10364,0.0,Nacoes Shopping,NS
IPHONE,2025-09-30 00:00:00,0,0,15.54,2.5,0.0,0.0,0.0,6204,0.0,Nacoes Shopping,NS
IPAD,2025-09-30 00:00:00,0,0,0.03,1.88,0.0,0.0,0.0,16,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-01 00:00:00,0,0,0.01,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-01 00:00:00,0,0,20.9,2.02,0.0,0.0,0.0,10365,0.0,Nacoes Shopping,NS
IPHONE,2025-10-01 00:00:00,0,0,19.24,2.2,0.0,0.0,0.0,8731,0.0,Nacoes Shopping,NS
IPAD,2025-10-01 00:00:00,0,0,0.04,1.6,0.0,0.0,0.0,25,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-02 00:00:00,0,0,0.01,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-02 00:00:00,0,0,23.18,2.12,0.0,0.0,0.0,10956,0.0,Nacoes Shopping,NS
IPHONE,2025-10-02 00:00:00,0,0,17.53,2.27,0.0,0.0,0.0,7715,0.0,Nacoes Shopping,NS
IPAD,2025-10-02 00:00:00,0,0,0.03,2.0,0.0,0.0,0.0,15,0.0,Nacoes Shopping,NS
ANDROID,2025-10-03 00:00:00,0,0,24.13,2.13,0.0,0.0,0.0,11305,0.0,Nacoes Shopping,NS
IPHONE,2025-10-03 00:00:00,0,0,16.69,2.08,0.0,0.0,0.0,8029,0.0,Nacoes Shopping,NS
IPAD,2025-10-03 00:00:00,0,0,0.01,1.67,0.0,0.0,0.0,6,0.0,Nacoes Shopping,NS
ANDROID,2025-10-04 00:00:00,0,0,22.1,2.05,0.0,0.0,0.0,10799,0.0,Nacoes Shopping,NS
IPHONE,2025-10-04 00:00:00,0,0,16.37,1.92,0.0,0.0,0.0,8537,0.0,Nacoes Shopping,NS
IPAD,2025-10-04 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,6,0.0,Nacoes Shopping,NS
ANDROID,2025-10-05 00:00:00,0,0,21.17,1.96,0.0,0.0,0.0,10803,0.0,Nacoes Shopping,NS
IPHONE,2025-10-05 00:00:00,0,0,16.33,1.94,0.0,0.0,0.0,8421,0.0,Nacoes Shopping,NS
IPAD,2025-10-05 00:00:00,0,0,0.01,0.77,0.0,0.0,0.0,13,0.0,Nacoes Shopping,NS
ANDROID,2025-10-06 00:00:00,0,0,22.15,2.1,0.0,0.0,0.0,10535,0.0,Nacoes Shopping,NS
IPHONE,2025-10-06 00:00:00,0,0,15.22,2.06,0.0,0.0,0.0,7379,0.0,Nacoes Shopping,NS
IPAD,2025-10-06 00:00:00,0,0,0.02,1.67,0.0,0.0,0.0,12,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-07 00:00:00,0,0,0.02,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-07 00:00:00,0,0,23.44,2.27,0.0,0.0,0.0,10341,0.0,Nacoes Shopping,NS
IPHONE,2025-10-07 00:00:00,0,0,14.52,2.16,0.0,0.0,0.0,6712,0.0,Nacoes Shopping,NS
IPAD,2025-10-07 00:00:00,0,0,0.03,2.0,0.0,0.0,0.0,15,0.0,Nacoes Shopping,NS
ANDROID,2025-10-08 00:00:00,0,0,22.46,2.31,0.0,0.0,0.0,9723,0.0,Nacoes Shopping,NS
IPHONE,2025-10-08 00:00:00,0,0,14.81,2.36,0.0,0.0,0.0,6263,0.0,Nacoes Shopping,NS
IPAD,2025-10-08 00:00:00,0,0,0.02,2.22,0.0,0.0,0.0,9,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-09 00:00:00,0,0,0.01,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-09 00:00:00,0,0,21.18,2.27,0.0,0.0,0.0,9328,0.0,Nacoes Shopping,NS
IPHONE,2025-10-09 00:00:00,0,0,15.53,2.34,0.0,0.0,0.0,6626,0.0,Nacoes Shopping,NS
IPAD,2025-10-09 00:00:00,0,0,0.04,3.33,0.0,0.0,0.0,12,0.0,Nacoes Shopping,NS
ANDROID,2025-10-10 00:00:00,0,0,21.31,2.13,0.0,0.0,0.0,10019,0.0,Nacoes Shopping,NS
IPHONE,2025-10-10 00:00:00,0,0,16.23,2.16,0.0,0.0,0.0,7531,0.0,Nacoes Shopping,NS
IPAD,2025-10-10 00:00:00,0,0,0.04,2.5,0.0,0.0,0.0,16,0.0,Nacoes Shopping,NS
ANDROID,2025-10-11 00:00:00,0,0,19.5,2.07,0.0,0.0,0.0,9437,0.0,Nacoes Shopping,NS
IPHONE,2025-10-11 00:00:00,0,0,15.15,1.98,0.0,0.0,0.0,7650,0.0,Nacoes Shopping,NS
IPAD,2025-10-11 00:00:00,0,0,0.07,5.0,0.0,0.0,0.0,14,0.0,Nacoes Shopping,NS
ANDROID,2025-10-12 00:00:00,0,0,18.81,2.0,0.0,0.0,0.0,9399,0.0,Nacoes Shopping,NS
IPHONE,2025-10-12 00:00:00,0,0,16.02,1.95,0.0,0.0,0.0,8222,0.0,Nacoes Shopping,NS
IPAD,2025-10-12 00:00:00,0,0,0.03,2.0,0.0,0.0,0.0,15,0.0,Nacoes Shopping,NS
ANDROID,2025-10-13 00:00:00,0,0,19.07,2.13,0.0,0.0,0.0,8936,0.0,Nacoes Shopping,NS
IPHONE,2025-10-13 00:00:00,0,0,14.91,2.06,0.0,0.0,0.0,7227,0.0,Nacoes Shopping,NS
IPAD,2025-10-13 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,11,0.0,Nacoes Shopping,NS
ANDROID,2025-10-14 00:00:00,0,0,19.55,2.2,0.0,0.0,0.0,8874,0.0,Nacoes Shopping,NS
IPHONE,2025-10-14 00:00:00,0,0,14.37,2.26,0.0,0.0,0.0,6349,0.0,Nacoes Shopping,NS
IPAD,2025-10-14 00:00:00,0,0,0.02,1.54,0.0,0.0,0.0,13,0.0,Nacoes Shopping,NS
ANDROID,2025-10-15 00:00:00,0,0,19.88,2.4,0.0,0.0,0.0,8297,0.0,Nacoes Shopping,NS
