plataforma,custo_total,receita_total,roas_7d,roas_30d,roas_total,tendencia_7d_vs_30d,cpa_total,conversoes_total,acao,motivo
Google Ads,543739.442013,5323.833181026001,0.0,9.667868832415116e-05,0.00979114768889382,-1.0,0.2979736781628669,1824790.180681,DIMINUIR,ROAS em queda (-100% nos ultimos 7d vs 30d)
TikTok Ads,13630.81,0.0,0.0,0.0,0.0,0.0,0.14104874843489687,96639.0,DIMINUIR,ROAS 0.0x abaixo da media (0.0x)
Meta Ads,266328.56999999995,0.0,0.0,0.0,0.0,0.0,0.8726562208176464,305193.0,DIMINUIR,ROAS 0.0x abaixo da media (0.0x)
