plataforma,impressoes,cliques,landing_page_views,sessoes_ga4,leads,add_to_cart,conversoes,receita
Google Ads,105437640,1821764,1548499.4,87940.0,0.0,0,1814064.985385,4661.044868749
Meta Ads,166707237,444210,80861.0,32055.0,427.0,0,305193.0,0.0
TikTok Ads,5634876,71153,60480.049999999996,2159.0,0.0,0,71153.0,0.0
