plataforma,tipo,segmento,impressoes,cliques,custo,conversoes,cpa,ctr
Google Ads,faixa_etaria,503001,742,211,18.626791,70.576227,0.2639244373321345,28.4366576819407
Google Ads,faixa_etaria,503001,347,101,6.535109,41.541666,0.15731456220364393,29.106628242074926
Google Ads,faixa_etaria,503001,373,117,8.631123,33.090909,0.2608306408264578,31.36729222520107
Google Ads,faixa_etaria,503001,416,128,10.001346,35.083333,0.2850739979579477,30.76923076923077
Google Ads,faixa_etaria,503001,337,108,9.284076,12.833333,0.7234345122970004,32.047477744807125
Google Ads,faixa_etaria,503001,465,145,12.101399,11.0,1.100127181818182,31.182795698924732
Google Ads,faixa_etaria,503001,927,260,32.746467,16.0,2.0466541875,28.047464940668824
Google Ads,faixa_etaria,503001,1318,391,40.066562,0.0,0.0,29.666160849772382
Google Ads,faixa_etaria,503002,521,238,3.889633,88.742426,0.043830591243922044,45.68138195777352
Google Ads,faixa_etaria,503002,843,360,6.615063,164.739721,0.04015463277371946,42.704626334519574
Google Ads,faixa_etaria,503002,518,305,8.146914,117.693185,0.06922162910282359,58.88030888030889
Google Ads,faixa_etaria,503002,501,205,5.613655,81.728249,0.0686868380111753,40.91816367265469
Google Ads,faixa_etaria,503002,370,165,5.07645,66.991342,0.07577770273657154,44.5945945945946
Google Ads,faixa_etaria,503002,802,274,7.877817,135.763302,0.0580261151868566,34.1645885286783
Google Ads,faixa_etaria,503002,609,331,6.917908,129.017103,0.05362008477279171,54.35139573070607
Google Ads,faixa_etaria,503002,587,293,6.181969,160.277056,0.03857051754182458,49.91482112436116
Google Ads,faixa_etaria,503002,679,274,4.692237,101.456709,0.04624866158432165,40.35346097201767
Google Ads,faixa_etaria,503002,611,245,4.218044,94.226191,0.0447650908440096,40.098199672667754
Google Ads,faixa_etaria,503002,764,288,6.50189,108.90909,0.05970015909599465,37.696335078534034
Google Ads,faixa_etaria,503002,697,239,6.804337,99.583334,0.06832806983546062,34.28981348637016
Google Ads,faixa_etaria,503002,478,292,6.716868,152.309523,0.04410011841478881,61.08786610878661
Google Ads,faixa_etaria,503002,604,268,6.141934,134.189393,0.04577063702792068,44.370860927152314
Google Ads,faixa_etaria,503002,565,195,5.0329,91.116667,0.05523577810413104,34.51327433628318
Google Ads,faixa_etaria,503002,480,270,6.299603,126.88625,0.04964764109586342,56.25
Google Ads,faixa_etaria,503002,656,265,5.97565,102.75874,0.058152231138684646,40.396341463414636
Google Ads,faixa_etaria,503002,613,224,5.063046,86.722757,0.05838197694752716,36.541598694942905
Google Ads,faixa_etaria,503002,569,190,4.748394,80.411742,0.059051002775191715,33.391915641476274
Google Ads,faixa_etaria,503002,602,314,7.913018,139.14552,0.05686865089152709,52.159468438538205
Google Ads,faixa_etaria,503002,747,259,7.156324,109.189395,0.06554046755181672,34.67202141900937
Google Ads,faixa_etaria,503002,596,211,5.552884,76.246568,0.07282798617243992,35.40268456375839
Google Ads,faixa_etaria,503002,583,252,8.02699,112.943017,0.07107114909105004,43.22469982847341
Google Ads,faixa_etaria,503002,608,245,7.426611,95.970483,0.07738432451152716,40.29605263157895
Google Ads,faixa_etaria,503002,146,105,1.845256,46.104401,0.04002342422798205,71.91780821917808
Google Ads,faixa_etaria,503002,6,1,0.01,0.0,0.0,16.666666666666664
Google Ads,faixa_etaria,503002,723,409,5.750274,178.374191,0.03223714130257779,56.56984785615491
Google Ads,faixa_etaria,503002,671,248,5.299787,93.573386,0.05663776022810589,36.95976154992549
Google Ads,faixa_etaria,503002,391,224,2.882884,82.095237,0.03511633689540356,57.289002557544755
Google Ads,faixa_etaria,503002,747,264,4.059815,111.00606,0.03657291322653917,35.34136546184739
Google Ads,faixa_etaria,503002,808,273,5.133308,97.756275,0.052511288917258765,33.78712871287129
Google Ads,faixa_etaria,503002,548,191,3.34155,62.953218,0.05307989180155969,34.85401459854015
Google Ads,faixa_etaria,503002,836,265,5.257439,88.880334,0.059151881674972095,31.698564593301437
Google Ads,faixa_etaria,503002,720,402,6.156285,155.123562,0.03968633082316663,55.833333333333336
Google Ads,faixa_etaria,503002,656,304,4.736901,127.090909,0.03727175324554489,46.34146341463415
Google Ads,faixa_etaria,503002,913,371,5.247274,125.518838,0.041804673175830386,40.63526834611172
Google Ads,faixa_etaria,503002,697,304,4.032863,130.878356,0.030813826848497393,43.6154949784792
Google Ads,faixa_etaria,503002,455,159,2.183199,59.555196,0.03665841348251125,34.94505494505494
Google Ads,faixa_etaria,503002,395,117,1.737731,27.765316,0.06258639375831343,29.620253164556964
Google Ads,faixa_etaria,503002,433,149,3.735706,46.666667,0.08005084228535113,34.41108545034642
Google Ads,faixa_etaria,503002,600,251,10.666664,110.480267,0.09654813741534496,41.833333333333336
Google Ads,faixa_etaria,503002,595,197,7.390141,85.507576,0.08642673954410776,33.10924369747899
Google Ads,faixa_etaria,503002,357,145,9.914752,49.376813,0.20079773070813622,40.61624649859944
Google Ads,faixa_etaria,503002,501,179,11.422217,48.918958,0.23349264716554263,35.728542914171655
Google Ads,faixa_etaria,503002,376,183,12.854377,55.19359,0.2328961931992465,48.67021276595745
Google Ads,faixa_etaria,503002,502,173,16.127881,67.603894,0.23856437914656217,34.462151394422314
Google Ads,faixa_etaria,503002,672,172,19.849358,69.333334,0.2862888145549152,25.595238095238095
Google Ads,faixa_etaria,503002,1208,385,43.197434,132.924242,0.3249778471559763,31.870860927152318
Google Ads,faixa_etaria,503002,1175,355,33.760818,120.440127,0.2803120425138708,30.21276595744681
Google Ads,faixa_etaria,503002,704,211,19.870672,41.090909,0.4835783019548192,29.97159090909091
Google Ads,faixa_etaria,503002,642,192,14.698751,64.388528,0.22828214057013388,29.906542056074763
Google Ads,faixa_etaria,503002,719,218,19.64739,39.007575,0.5036814003433948,30.319888734353267
Google Ads,faixa_etaria,503002,697,186,18.284155,29.5,0.6198018644067796,26.6857962697274
Google Ads,faixa_etaria,503002,820,240,19.643068,12.0,1.6369223333333334,29.268292682926827
Google Ads,faixa_etaria,503002,1653,487,54.283257,29.0,1.871836448275862,29.461584996975198
Google Ads,faixa_etaria,503002,1960,514,57.185948,4.0,14.296487,26.224489795918366
Google Ads,faixa_etaria,503003,359,181,2.768682,91.575759,0.030233787087694242,50.41782729805014
Google Ads,faixa_etaria,503003,640,274,6.827482,122.477636,0.05574472387759019,42.8125
Google Ads,faixa_etaria,503003,394,216,5.446489,92.68594,0.0587628393260078,54.82233502538071
Google Ads,faixa_etaria,503003,478,190,5.877144,99.535353,0.059045794512830034,39.74895397489539
Google Ads,faixa_etaria,503003,319,138,5.124863,59.229167,0.08652600162349068,43.260188087774296
Google Ads,faixa_etaria,503003,539,191,5.209542,71.328851,0.07303555191152596,35.43599257884972
Google Ads,faixa_etaria,503003,396,223,4.993646,85.099327,0.058680205543811176,56.313131313131315
Google Ads,faixa_etaria,503003,510,247,5.058287,111.640213,0.04530882613059865,48.431372549019606
Google Ads,faixa_etaria,503003,516,214,5.113979,111.49134,0.04586884506007372,41.47286821705426
Google Ads,faixa_etaria,503003,514,227,5.303911,106.083334,0.04999758963080855,44.16342412451362
Google Ads,faixa_etaria,503003,626,218,5.230289,93.882304,0.05571112741331955,34.82428115015975
Google Ads,faixa_etaria,503003,481,161,5.56298,63.924243,0.08702457375991139,33.471933471933475
Google Ads,faixa_etaria,503003,360,215,5.129518,97.66883,0.05251949880018016,59.72222222222222
Google Ads,faixa_etaria,503003,420,199,4.44711,108.981767,0.04080600014496003,47.38095238095238
Google Ads,faixa_etaria,503003,485,185,4.768076,87.250003,0.05464843365105672,38.144329896907216
Google Ads,faixa_etaria,503003,322,190,4.516113,74.051947,0.06098574288667927,59.006211180124225
Google Ads,faixa_etaria,503003,429,179,4.460788,71.310606,0.06255434149584985,41.72494172494173
Google Ads,faixa_etaria,503003,454,155,4.413986,82.46212,0.05352743781023336,34.140969162995596
Google Ads,faixa_etaria,503003,408,133,4.157628,59.74359,0.06959119798458713,32.59803921568628
Google Ads,faixa_etaria,503003,333,178,4.25,75.174243,0.05653532154623758,53.453453453453456
Google Ads,faixa_etaria,503003,462,166,3.9,71.0,0.05492957746478873,35.93073593073593
Google Ads,faixa_etaria,503003,385,133,4.612529,77.315935,0.05965819335949311,34.54545454545455
Google Ads,faixa_etaria,503003,386,179,6.497628,83.324677,0.07797963621269123,46.373056994818654
Google Ads,faixa_etaria,503003,428,183,6.342713,100.916667,0.06285099566358052,42.757009345794394
Google Ads,faixa_etaria,503003,87,71,1.323476,34.507577,0.03835319993635022,81.60919540229885
Google Ads,faixa_etaria,503003,493,305,4.931958,136.196104,0.03621218122362737,61.86612576064908
Google Ads,faixa_etaria,503003,378,139,3.423946,58.940477,0.05809158958791596,36.77248677248677
Google Ads,faixa_etaria,503003,286,189,2.876526,89.662338,0.03208176436353913,66.08391608391608
Google Ads,faixa_etaria,503003,489,187,3.446514,61.2987,0.0562249117844261,38.24130879345603
Google Ads,faixa_etaria,503003,464,161,3.153593,62.646637,0.05033938214432803,34.69827586206897
Google Ads,faixa_etaria,503003,374,132,2.234737,54.043289,0.04135086967042291,35.294117647058826
Google Ads,faixa_etaria,503003,505,195,4.494586,65.505496,0.06861387630741703,38.613861386138616
Google Ads,faixa_etaria,503003,505,304,5.015634,124.010073,0.040445375755887185,60.198019801980195
Google Ads,faixa_etaria,503003,446,228,3.570527,96.397017,0.03703980798492965,51.12107623318386
Google Ads,faixa_etaria,503003,551,235,3.217997,108.74359,0.02959252126952954,42.6497277676951
Google Ads,faixa_etaria,503003,462,215,3.115653,97.852814,0.031840198279836904,46.53679653679654
Google Ads,faixa_etaria,503003,288,100,1.323916,40.499999,0.03268928475776012,34.72222222222222
Google Ads,faixa_etaria,503003,176,62,0.908231,19.742424,0.04600402665852987,35.22727272727273
Google Ads,faixa_etaria,503003,347,120,3.270082,40.757577,0.0802324927215374,34.5821325648415
Google Ads,faixa_etaria,503003,392,165,6.641555,66.742422,0.09951024851930006,42.09183673469388
Google Ads,faixa_etaria,503003,344,92,4.117697,53.147185,0.07747723609444225,26.744186046511626
Google Ads,faixa_etaria,503003,226,77,4.744694,26.757577,0.17732151158529788,34.070796460176986
Google Ads,faixa_etaria,503003,269,88,8.677031,51.666666,0.16794253765087144,32.71375464684015
Google Ads,faixa_etaria,503003,221,102,7.553616,46.365838,0.16291339326165097,46.15384615384615
Google Ads,faixa_etaria,503003,334,122,14.650893,52.833334,0.277303964955155,36.52694610778443
Google Ads,faixa_etaria,503003,433,125,14.730108,48.584627,0.3031845443621498,28.868360277136258
Google Ads,faixa_etaria,503003,714,204,24.797697,83.009089,0.2987347204834401,28.57142857142857
Google Ads,faixa_etaria,503003,741,215,22.317889,84.733335,0.26338971551161067,29.01484480431849
Google Ads,faixa_etaria,503003,427,131,13.712492,40.479166,0.33875431129188777,30.679156908665107
Google Ads,faixa_etaria,503003,433,145,11.702775,51.642856,0.22660975605222144,33.48729792147806
Google Ads,faixa_etaria,503003,418,135,12.11768,31.458333,0.385197778916003,32.29665071770335
Google Ads,faixa_etaria,503003,395,107,9.93316,7.90909,1.255916925967463,27.088607594936708
Google Ads,faixa_etaria,503003,477,144,14.910291,17.0,0.8770759411764706,30.18867924528302
Google Ads,faixa_etaria,503003,944,288,29.447716,22.0,1.3385325454545454,30.508474576271187
Google Ads,faixa_etaria,503003,1065,289,29.678044,0.0,0.0,27.136150234741784
Google Ads,faixa_etaria,503004,151,63,1.461161,35.333334,0.041353612427290326,41.72185430463576
Google Ads,faixa_etaria,503004,272,125,2.853476,63.301075,0.04507784425461969,45.955882352941174
Google Ads,faixa_etaria,503004,162,98,2.800706,55.282258,0.05066193207954711,60.49382716049383
Google Ads,faixa_etaria,503004,163,69,2.508784,44.916666,0.05585419006833677,42.331288343558285
Google Ads,faixa_etaria,503004,118,59,2.425324,43.5,0.055754574712643674,50.0
Google Ads,faixa_etaria,503004,213,77,2.754219,21.166668,0.13012057448059372,36.15023474178404
Google Ads,faixa_etaria,503004,172,98,2.654443,38.333333,0.06924633973257686,56.97674418604651
Google Ads,faixa_etaria,503004,226,96,2.151009,46.333333,0.04642465501024932,42.47787610619469
Google Ads,faixa_etaria,503004,242,93,2.381685,60.463334,0.03939056685163937,38.429752066115704
Google Ads,faixa_etaria,503004,217,97,2.34599,50.416666,0.04653203367315086,44.70046082949309
Google Ads,faixa_etaria,503004,227,80,2.407554,43.553335,0.055278292695611034,35.24229074889868
Google Ads,faixa_etaria,503004,183,66,2.236835,32.174243,0.06952253701819808,36.0655737704918
Google Ads,faixa_etaria,503004,131,76,1.771657,26.642423,0.0664975929554155,58.01526717557252
Google Ads,faixa_etaria,503004,197,81,2.070796,44.507577,0.04652681946716623,41.11675126903553
Google Ads,faixa_etaria,503004,237,86,2.504316,42.242426,0.05928437916894262,36.28691983122363
Google Ads,faixa_etaria,503004,173,95,1.990091,47.424242,0.041963580567086343,54.91329479768786
Google Ads,faixa_etaria,503004,169,75,2.089946,32.120636,0.06506552360918383,44.37869822485207
Google Ads,faixa_etaria,503004,183,66,1.345888,27.25,0.04939038532110092,36.0655737704918
Google Ads,faixa_etaria,503004,144,48,1.1,22.409092,0.04908721870569321,33.33333333333333
Google Ads,faixa_etaria,503004,183,90,2.01,34.680662,0.05795737117128848,49.18032786885246
Google Ads,faixa_etaria,503004,195,70,1.65,31.368112,0.05260118938621489,35.8974358974359
Google Ads,faixa_etaria,503004,175,72,2.12,39.821428,0.0532376689253836,41.14285714285714
Google Ads,faixa_etaria,503004,149,71,3.115256,59.333333,0.052504314901709634,47.651006711409394
Google Ads,faixa_etaria,503004,143,52,1.942256,34.733766,0.05591838212994237,36.36363636363637
Google Ads,faixa_etaria,503004,27,18,0.23,5.896104,0.03900880988530731,66.66666666666666
Google Ads,faixa_etaria,503004,214,132,1.987848,57.583333,0.034521238984203985,61.6822429906542
Google Ads,faixa_etaria,503004,166,57,1.3,19.340909,0.067215041444019,34.33734939759036
Google Ads,faixa_etaria,503004,105,52,0.711441,33.669231,0.021130301431594917,49.523809523809526
Google Ads,faixa_etaria,503004,228,96,1.574461,36.833335,0.04274554557712464,42.10526315789473
Google Ads,faixa_etaria,503004,216,70,1.322906,24.075758,0.05494763653962629,32.407407407407405
Google Ads,faixa_etaria,503004,198,74,1.493756,34.576923,0.04320095226518566,37.37373737373738
Google Ads,faixa_etaria,503004,223,72,1.402107,18.336379,0.07646586057149014,32.28699551569507
Google Ads,faixa_etaria,503004,209,129,2.271588,69.6875,0.03259677847533632,61.72248803827751
Google Ads,faixa_etaria,503004,168,92,1.356227,32.257167,0.04204420679596568,54.761904761904766
Google Ads,faixa_etaria,503004,268,117,1.888556,40.844682,0.04623750039233994,43.656716417910445
Google Ads,faixa_etaria,503004,213,93,1.656533,36.196345,0.0457652008787075,43.66197183098591
Google Ads,faixa_etaria,503004,97,30,0.407628,10.231393,0.039840909248623324,30.927835051546392
Google Ads,faixa_etaria,503004,66,21,0.446393,10.833334,0.04120550515658429,31.818181818181817
Google Ads,faixa_etaria,503004,124,46,0.96057,15.090909,0.06365222929910981,37.096774193548384
Google Ads,faixa_etaria,503004,169,76,2.559277,35.916666,0.0712559734803893,44.97041420118343
Google Ads,faixa_etaria,503004,164,48,2.212843,26.15909,0.08459174229684595,29.268292682926827
Google Ads,faixa_etaria,503004,104,29,2.256347,16.0,0.1410216875,27.884615384615387
Google Ads,faixa_etaria,503004,123,33,5.922521,14.09091,0.4203079148188442,26.82926829268293
Google Ads,faixa_etaria,503004,88,38,2.675097,12.0,0.22292475,43.18181818181818
Google Ads,faixa_etaria,503004,125,31,2.593513,10.0,0.2593513,24.8
Google Ads,faixa_etaria,503004,189,51,6.318922,20.5,0.3082400975609756,26.984126984126984
Google Ads,faixa_etaria,503004,346,116,15.447869,48.325757,0.3196611902013247,33.52601156069364
Google Ads,faixa_etaria,503004,340,80,11.513948,20.083333,0.5733086236233796,23.52941176470588
Google Ads,faixa_etaria,503004,134,33,3.678346,10.0,0.3678346,24.62686567164179
Google Ads,faixa_etaria,503004,195,51,8.945487,17.0,0.5262051176470588,26.153846153846157
Google Ads,faixa_etaria,503004,164,47,5.252554,15.0,0.3501702666666667,28.65853658536585
Google Ads,faixa_etaria,503004,203,41,5.735177,20.0,0.28675885,20.19704433497537
Google Ads,faixa_etaria,503004,254,59,7.796294,3.0,2.5987646666666664,23.228346456692915
Google Ads,faixa_etaria,503004,397,115,18.243957,6.0,3.0406595000000003,28.967254408060455
Google Ads,faixa_etaria,503004,463,121,16.631067,0.0,0.0,26.13390928725702
Google Ads,faixa_etaria,503005,52,20,0.321262,11.0,0.029205636363636364,38.46153846153847
Google Ads,faixa_etaria,503005,60,19,0.341703,8.666668,0.03942726316503643,31.666666666666664
Google Ads,faixa_etaria,503005,63,28,1.197724,9.952383,0.12034544892414209,44.44444444444444
Google Ads,faixa_etaria,503005,62,24,0.445256,9.481481,0.046960596134717765,38.70967741935484
Google Ads,faixa_etaria,503005,41,20,0.405144,10.5,0.03858514285714286,48.78048780487805
Google Ads,faixa_etaria,503005,67,20,0.662527,7.666666,0.08641657273187589,29.850746268656714
Google Ads,faixa_etaria,503005,34,14,0.34,3.5,0.09714285714285716,41.17647058823529
Google Ads,faixa_etaria,503005,83,38,0.605256,14.374998,0.04210477107544641,45.78313253012048
Google Ads,faixa_etaria,503005,55,19,0.47,8.505953,0.05525541935159999,34.54545454545455
Google Ads,faixa_etaria,503005,75,28,0.675168,16.166667,0.041762968211072816,37.333333333333336
Google Ads,faixa_etaria,503005,107,40,0.817528,30.5,0.026804196721311478,37.38317757009346
Google Ads,faixa_etaria,503005,68,20,0.43,11.0,0.03909090909090909,29.411764705882355
Google Ads,faixa_etaria,503005,47,26,0.479832,5.0,0.0959664,55.319148936170215
Google Ads,faixa_etaria,503005,65,39,0.867628,10.0,0.0867628,60.0
Google Ads,faixa_etaria,503005,53,22,0.405256,8.333333,0.04863072194522888,41.509433962264154
Google Ads,faixa_etaria,503005,37,28,0.661738,12.909091,0.05126139400520145,75.67567567567568
Google Ads,faixa_etaria,503005,40,17,0.447628,8.333333,0.05371536214861449,42.5
Google Ads,faixa_etaria,503005,65,20,0.73,9.0,0.0811111111111111,30.76923076923077
Google Ads,faixa_etaria,503005,61,14,0.41,6.0,0.06833333333333333,22.950819672131146
Google Ads,faixa_etaria,503005,42,24,0.346143,8.5,0.04072270588235294,57.14285714285714
Google Ads,faixa_etaria,503005,58,24,0.79,15.285716,0.05168223719451545,41.37931034482759
Google Ads,faixa_etaria,503005,49,19,0.52,14.98052,0.034711745653688925,38.775510204081634
Google Ads,faixa_etaria,503005,44,16,0.3,7.421571,0.040422708345712786,36.36363636363637
Google Ads,faixa_etaria,503005,33,13,0.33,5.578429,0.05915643992242261,39.39393939393939
Google Ads,faixa_etaria,503005,9,10,0.1,1.071428,0.09333338311113766,111.11111111111111
Google Ads,faixa_etaria,503005,55,37,0.432526,19.071428,0.022679266597131584,67.27272727272727
Google Ads,faixa_etaria,503005,25,9,0.203101,2.0,0.1015505,36.0
Google Ads,faixa_etaria,503005,30,19,0.227628,9.015154,0.02524948547745274,63.33333333333333
Google Ads,faixa_etaria,503005,51,16,0.238932,11.257576,0.02122410721455489,31.372549019607842
Google Ads,faixa_etaria,503005,41,16,0.3,3.90909,0.0767442038940009,39.02439024390244
Google Ads,faixa_etaria,503005,43,8,0.13,2.742424,0.04740331910747572,18.6046511627907
Google Ads,faixa_etaria,503005,79,32,0.466153,9.833334,0.04740538661658395,40.50632911392405
Google Ads,faixa_etaria,503005,64,42,0.58865,22.0,0.026756818181818184,65.625
Google Ads,faixa_etaria,503005,81,40,0.527699,14.049999,0.03755865036004629,49.382716049382715
Google Ads,faixa_etaria,503005,86,33,0.416192,4.75,0.08761936842105263,38.372093023255815
Google Ads,faixa_etaria,503005,44,19,0.255256,5.0,0.0510512,43.18181818181818
Google Ads,faixa_etaria,503005,42,18,0.17,2.333333,0.07285715326530762,42.857142857142854
Google Ads,faixa_etaria,503005,42,12,0.359277,1.7,0.2113394117647059,28.57142857142857
Google Ads,faixa_etaria,503005,46,19,0.754128,11.0,0.06855709090909091,41.30434782608695
Google Ads,faixa_etaria,503005,76,35,1.462092,8.5,0.17201082352941177,46.05263157894737
Google Ads,faixa_etaria,503005,56,18,1.41,10.0,0.141,32.142857142857146
Google Ads,faixa_etaria,503005,38,6,0.329499,2.0,0.1647495,15.789473684210526
Google Ads,faixa_etaria,503005,68,16,1.366074,5.0,0.2732148,23.52941176470588
Google Ads,faixa_etaria,503005,49,18,1.449728,7.2,0.2013511111111111,36.734693877551024
Google Ads,faixa_etaria,503005,64,19,1.017548,4.2,0.24227333333333329,29.6875
Google Ads,faixa_etaria,503005,73,19,4.028362,7.0,0.5754802857142858,26.027397260273972
Google Ads,faixa_etaria,503005,89,22,3.483394,8.4,0.4146897619047619,24.719101123595504
Google Ads,faixa_etaria,503005,111,23,4.52288,11.74167,0.3851990389782714,20.72072072072072
Google Ads,faixa_etaria,503005,66,11,1.098229,5.0,0.21964579999999997,16.666666666666664
Google Ads,faixa_etaria,503005,50,14,1.495656,4.0,0.373914,28.000000000000004
Google Ads,faixa_etaria,503005,76,21,2.094257,3.0,0.6980856666666666,27.631578947368425
Google Ads,faixa_etaria,503005,74,18,1.630287,4.0,0.40757175,24.324324324324326
Google Ads,faixa_etaria,503005,101,23,1.246533,4.0,0.31163325,22.772277227722775
Google Ads,faixa_etaria,503005,146,43,4.522094,5.0,0.9044188,29.45205479452055
Google Ads,faixa_etaria,503005,199,58,6.131723,0.0,0.0,29.145728643216078
Google Ads,faixa_etaria,503006,14,7,0.14,2.0,0.07,50.0
Google Ads,faixa_etaria,503006,22,8,0.13,3.09091,0.04205881115917319,36.36363636363637
Google Ads,faixa_etaria,503006,12,7,0.105256,1.0,0.105256,58.333333333333336
Google Ads,faixa_etaria,503006,16,4,0.13,0.5,0.26,25.0
Google Ads,faixa_etaria,503006,29,15,0.637628,4.40909,0.14461668961168858,51.724137931034484
Google Ads,faixa_etaria,503006,18,9,0.257628,2.666667,0.09661048792368902,50.0
Google Ads,faixa_etaria,503006,25,15,0.309888,8.0,0.038736,60.0
Google Ads,faixa_etaria,503006,28,14,0.35384,4.0,0.08846,50.0
Google Ads,faixa_etaria,503006,29,10,0.2,2.6875,0.07441860465116279,34.48275862068966
Google Ads,faixa_etaria,503006,23,10,0.21,3.666667,0.05727272206611617,43.47826086956522
Google Ads,faixa_etaria,503006,32,11,0.237628,2.333333,0.10184058597722656,34.375
Google Ads,faixa_etaria,503006,22,6,0.09,4.0,0.0225,27.27272727272727
Google Ads,faixa_etaria,503006,22,14,0.26019,5.333334,0.04878561890179763,63.63636363636363
Google Ads,faixa_etaria,503006,22,11,0.29,3.0,0.09666666666666666,50.0
Google Ads,faixa_etaria,503006,25,8,0.13,3.0,0.043333333333333335,32.0
Google Ads,faixa_etaria,503006,18,8,0.18,4.666666,0.03857143408163344,44.44444444444444
Google Ads,faixa_etaria,503006,36,21,0.34,12.0,0.028333333333333335,58.333333333333336
Google Ads,faixa_etaria,503006,22,6,0.097628,3.0,0.03254266666666667,27.27272727272727
Google Ads,faixa_etaria,503006,18,4,0.08,0.333334,0.23999952000095998,22.22222222222222
Google Ads,faixa_etaria,503006,19,6,0.06,8.0,0.0075,31.57894736842105
