plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - Narbona novos conteúdos,443604,540.71,2313.0,664.0,372.0,201.0,,
Meta Ads,[ALC] Musical K-Pop,277749,350.0,,,,,,
Meta Ads,[ALC] Vídeo musical K-POP,262754,349.73,12456.0,4856.0,2805.0,985.0,,
Meta Ads,[ALC] Vídeo influenciadora - musicais,365558,499.95,2751.0,678.0,368.0,215.0,,
Meta Ads,[ALC] A Menina da Casa Mágica,336904,499.97,,,,,,
Meta Ads,[ALC] Musical A Menina da Casa Mágica 02,378437,499.96,,,,,,
Meta Ads,[ALC] Vídeo Gabby,121263,200.0,1380.0,334.0,169.0,107.0,,
Meta Ads,[ALC] Campanha de Almoço,442388,799.98,2785.0,1280.0,769.0,283.0,,
Meta Ads,TRAF - FRANQUIAS CS,46083,186.76,,,,,,
Meta Ads,ALC - Narbona novos conteúdos,530470,631.41,2129.0,595.0,333.0,202.0,,
Meta Ads,[ALC] Campanha de Almoço,159565,200.02,217.0,93.0,50.0,16.0,,
Meta Ads,TRAF - FRANQUIAS CS,231568,1013.19,,,,,,
Meta Ads,ENG - FRANQUIAS CS — Whats,434646,1141.68,,,,,,
Meta Ads,[ALC] Horário de funcionamento Páscoa,132596,149.99,,,,,,
Meta Ads,ALC - PROMO IPHONE,864515,1199.66,8641.0,2717.0,1605.0,1105.0,,
Meta Ads,TRAF - PROMO IPHONE,187966,499.67,2798.0,1155.0,857.0,619.0,,
Meta Ads,ALC - Super Games,1012272,1357.32,18127.0,9571.0,4231.0,1962.0,,
Meta Ads,ALC - CINEPOLIS MJ,251019,349.89,1303.0,343.0,155.0,95.0,,
Meta Ads,[ALC] Patrulha Canina Show,620126,799.84,,,,,,
Meta Ads,[ALC] Video Patrulha Canina,309381,499.97,15958.0,4944.0,2807.0,1998.0,,
Meta Ads,ALC - PROMO MAES 26,83476,119.73,724.0,326.0,91.0,57.0,,
Meta Ads,TRAF - PROMO MAES 26,14120,134.92,862.0,392.0,177.0,111.0,,
Meta Ads,ALC - Narbona novos conteúdos,92363,123.97,509.0,163.0,85.0,47.0,,
Meta Ads,[ALC] Campanha de Almoço,0,0.0,,,,,,
Meta Ads,ENG - FRANQUIAS CS — Whats,22777,58.11,,,,,,
Meta Ads,ALC - Super Games,267328,375.54,5508.0,2718.0,1243.0,596.0,,
Meta Ads,ALC - PROMO MAES 26,153303,217.13,601.0,175.0,88.0,52.0,,
Meta Ads,TRAF - PROMO MAES 26,23440,207.84,2149.0,1006.0,560.0,338.0,,
Meta Ads,ALC - PRESENTES MAE,131876,168.71,9.0,6.0,4.0,3.0,,
Meta Ads,ENG - ALBUM DE FIGURINHAS,9096,24.81,1980.0,876.0,467.0,237.0,,
