plataforma,tipo,severidade,mensagem,metrica,valor_atual,valor_media
Google Ads,anomalia_cpa,Alta,CPA subiu 60234% vs media movel 7d,cpa,690.3154443333333,1.1441531171513541
TikTok Ads,anomalia_cpa,Media,CPA subiu 41% vs media movel 7d,cpa,1.5040909090909091,1.0704720277462059
Meta Ads,anomalia_custo,Alta,CUSTO subiu 89% vs media movel 7d,custo,2180.57,1153.5685714285714
Meta Ads,anomalia_cpa,Media,CPA subiu 73% vs media movel 7d,cpa,0.9934259681093393,0.5741325151181446
Meta Ads,anomalia_ctr,Media,CTR caiu 14% vs media movel 7d,ctr,0.8187813684210525,0.9566610847762044
