ano,semana,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025,1,Google Ads,488986,8554,2173.679779,17734.95962,32.0,0.01472157964993426,0.12256468723778238,1.749334336770378
2025,49,Google Ads,563828,5188,3444.77972,15168.7582,21.0,0.006096180803108072,0.22709701575966845,0.9201387657228801
2025,50,Google Ads,2178609,14485,12512.462247,48946.881196,67.0,0.00535466151085203,0.25563349372344757,0.6648737795538346
2025,51,Google Ads,1215124,13155,7593.621628,40387.388476,84.0,0.011061915396240758,0.18801962480224416,1.0826055612431325
2025,52,Google Ads,1081572,17058,5577.111231,37450.924323,69.0,0.01237199638703064,0.14891785267833535,1.5771488167223264
2026,1,Google Ads,138161,2796,661.544705,4111.975093999999,6.0,0.009069681844101526,0.16088246885670462,2.0237259429216636
2026,2,Google Ads,2543515,50080,11906.819449,43898.387225,47.0,0.003947317770401509,0.2712359200799774,1.9689288248742391
2026,3,Google Ads,3395168,84997,18117.714728,51990.258935,113.0,0.006236989691937487,0.3484828715827591,2.5034696368486036
2026,4,Google Ads,1639151,35646,8414.041413,41884.535516,81.0,0.00962676507330378,0.20088658759951664,2.1746623709469106
2026,5,Google Ads,1119402,30729,7021.402829,34692.839356,66.0,0.009399831003486212,0.20238766729208846,2.745126415711246
2026,6,Google Ads,3940460,60293,41409.421824,62513.205646,45.0,0.0010867092081425533,0.6624107881859941,1.5301005466366873
2026,7,Google Ads,681442,26610,5148.4285500000005,26078.728436,29.0,0.0056327867267382,0.19741869557155736,3.9049544935592464
2026,8,Google Ads,703920,23568,4021.122843,22279.954241,12.0,0.002984241086016481,0.18048164729172794,3.3481077395158545
2026,9,Google Ads,286377,18878,3290.356978,11380.923977999999,1.0,0.000303918391434791,0.28911158569905704,6.592009833191911
2026,10,Google Ads,181901,10299,1858.844603,1071.0,0.0,0.0,1.7356158758169935,5.661871017751414
