campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,gender,shopping
[BF] ALC Adcos,120235701675980087,OUTCOME_AWARENESS,2025-11-04,68812,27142,2.535259,83,0.120619,1.368434,1.650584,113.58,42.0,0,2.704286,5.0,0,22.716,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,55.0,0,2.065091,13.0,0,0,55.0,0,2.065091,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,42.0,male,CS
[BF] ALC Adcos,120235701675980087,OUTCOME_AWARENESS,2025-11-04,1161,535,2.170093,2,0.172265,0.88,1.515935,1.76,1.0,0,1.76,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,1.76,0.0,0,0,1.0,0,1.76,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,1.0,unknown,CS
[BF] ALC Nike,120235703048250087,OUTCOME_AWARENESS,2025-11-04,45065,36469,1.235707,131,0.290691,0.549389,1.597027,71.97,73.0,0,0.98589,18.0,0,3.998333,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,81.0,0,0.888519,3.0,0,0,82.0,0,0.877683,0,0,0,0.0,0,0,0.0,0,0,6.0,1.0,,,,,,73.0,female,CS
[BF] ALC Nike,120235703048250087,OUTCOME_AWARENESS,2025-11-04,48903,41630,1.174706,106,0.216756,0.724623,1.57066,76.81,62.0,0,1.238871,12.0,0,6.400833,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,69.0,0,1.113188,4.0,0,0,69.0,0,1.113188,0,0,0,0.0,0,0,0.0,0,0,5.0,1.0,1.0,1.0,,,,62.0,male,CS
[BF] ALC Nike,120235703048250087,OUTCOME_AWARENESS,2025-11-04,751,693,1.083694,3,0.399467,0.406667,1.624501,1.22,2.0,0,0.61,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.61,0.0,0,0,2.0,0,0.61,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,2.0,unknown,CS
[BF] Outlet Aniversário,120235703488080087,OUTCOME_AWARENESS,2025-11-04,26929,26102,1.031683,40,0.148539,1.2075,1.793605,48.3,30.0,0,1.61,1.0,0,48.3,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1204.0,0,0.040116,8.0,0,0,1204.0,0,0.040116,0,0,0,0.0,0,0,0.0,0,0,530.0,224.0,56.0,36.0,,,,30.0,female,CS
[BF] Outlet Aniversário,120235703488080087,OUTCOME_AWARENESS,2025-11-04,27853,25621,1.087116,34,0.122069,1.504118,1.836068,51.14,27.0,0,1.894074,2.0,0,25.57,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1670.0,0,0.030623,4.0,0,0,1670.0,0,0.030623,0,0,0,0.0,0,0,0.0,0,0,712.0,295.0,102.0,63.0,,,,27.0,male,CS
[BF] Outlet Aniversário,120235703488080087,OUTCOME_AWARENESS,2025-11-04,255,240,1.0625,1,0.392157,0.49,1.921569,0.49,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,13.0,0,0.037692,0.0,0,0,13.0,0,0.037692,0,0,0,0.0,0,0,0.0,0,0,2.0,3.0,,,,,,0.0,unknown,CS
[BF] Outlet Aniversário - 2,120235703619910087,OUTCOME_AWARENESS,2025-11-04,21004,16748,1.25412,14,0.066654,2.585,1.723005,36.19,1.0,0,36.19,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,6.0,0,6.031667,2.0,0,0,6.0,0,6.031667,0,0,0,0.0,0,0,0.0,0,0,7.0,2.0,2.0,1.0,,,,0.0,female,CS
[BF] Outlet Aniversário - 2,120235703619910087,OUTCOME_AWARENESS,2025-11-04,36452,26157,1.393585,23,0.063097,2.735217,1.725831,62.91,2.0,0,31.455,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,22.0,0,2.859545,5.0,0,0,22.0,0,2.859545,0,0,0,0.0,0,0,0.0,0,0,16.0,10.0,5.0,4.0,,,,1.0,male,CS
[BF] Outlet Aniversário - 2,120235703619910087,OUTCOME_AWARENESS,2025-11-04,482,400,1.205,0,0.0,0.0,1.721992,0.83,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,unknown,CS
[ALC] Black Friday Gastronomia,120235997770420087,OUTCOME_AWARENESS,2025-11-04,136804,63990,2.137897,537,0.392532,0.421881,1.656019,226.55,316.0,0,0.71693,72.0,0,3.146528,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,412.0,0,0.549879,22.0,0,0,412.0,0,0.549879,0,0,0,0.0,0,0,0.0,0,0,1.0,,,,,,,316.0,female,CS
[ALC] Black Friday Gastronomia,120235997770420087,OUTCOME_AWARENESS,2025-11-04,163878,74077,2.212266,432,0.263611,0.62838,1.656476,271.46,243.0,0,1.117119,49.0,0,5.54,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,332.0,0,0.817651,37.0,0,0,332.0,0,0.817651,0,0,0,0.0,0,0,0.0,0,0,2.0,1.0,,,,,,243.0,male,CS
[ALC] Black Friday Gastronomia,120235997770420087,OUTCOME_AWARENESS,2025-11-04,1316,850,1.548235,5,0.379939,0.388,1.474164,1.94,3.0,0,0.646667,1.0,0,1.94,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,0.646667,0.0,0,0,3.0,0,0.646667,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,3.0,unknown,CS
[ALC] Black Friday Jóias,120235998038130087,OUTCOME_AWARENESS,2025-11-04,161054,86493,1.862047,226,0.140326,1.096195,1.538242,247.74,141.0,0,1.757021,24.0,0,10.3225,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,730.0,0,0.33937,32.0,0,0,730.0,0,0.33937,0,0,0,0.0,0,0,0.0,0,0,399.0,153.0,87.0,57.0,,,,141.0,female,CS
[ALC] Black Friday Jóias,120235998038130087,OUTCOME_AWARENESS,2025-11-04,162669,89916,1.809122,191,0.117416,1.307277,1.534957,249.69,124.0,0,2.013629,12.0,0,20.8075,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,696.0,0,0.35875,28.0,0,0,696.0,0,0.35875,0,0,0,0.0,0,0,0.0,0,0,400.0,140.0,85.0,62.0,,,,124.0,male,CS
[ALC] Black Friday Jóias,120235998038130087,OUTCOME_AWARENESS,2025-11-04,1728,1148,1.505226,7,0.405093,0.367143,1.487269,2.57,6.0,0,0.428333,1.0,0,2.57,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9.0,0,0.285556,0.0,0,0,9.0,0,0.285556,0,0,0,0.0,0,0,0.0,0,0,3.0,1.0,1.0,1.0,,,,6.0,unknown,CS
[ALC] Black Friday Inst.,120236147694890087,OUTCOME_AWARENESS,2025-11-04,281034,127728,2.200254,321,0.114221,1.510903,1.72577,485.0,193.0,0,2.512953,26.0,0,18.653846,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,8636.0,0,0.05616,21.0,0,0,8636.0,0,0.05616,0,0,0,0.0,0,0,0.0,0,0,6384.0,2695.0,1599.0,1174.0,,,,192.0,female,CS
[ALC] Black Friday Inst.,120236147694890087,OUTCOME_AWARENESS,2025-11-04,297658,135753,2.192644,282,0.09474,1.81234,1.717004,511.08,197.0,0,2.594315,28.0,0,18.252857,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10473.0,0,0.0488,31.0,0,0,10473.0,0,0.0488,0,0,0,0.0,0,0,0.0,0,0,7718.0,3118.0,1794.0,1252.0,,,,197.0,male,CS
[ALC] Black Friday Inst.,120236147694890087,OUTCOME_AWARENESS,2025-11-04,2244,1145,1.959825,1,0.044563,3.92,1.746881,3.92,1.0,0,3.92,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,84.0,0,0.046667,1.0,0,0,84.0,0,0.046667,0,0,0,0.0,0,0,0.0,0,0,58.0,25.0,19.0,11.0,,,,1.0,unknown,CS
[ALC] Spedini,120236148302980087,OUTCOME_AWARENESS,2025-11-04,91808,46733,1.964522,112,0.121994,1.494286,1.822935,167.36,80.0,0,2.092,11.0,0,15.214545,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2915.0,0,0.057413,7.0,0,0,2915.0,0,0.057413,0,0,0,0.0,0,0,0.0,0,0,2159.0,876.0,526.0,393.0,,,,80.0,female,CS
[ALC] Spedini,120236148302980087,OUTCOME_AWARENESS,2025-11-04,99198,51256,1.935344,106,0.106857,1.711792,1.82917,181.45,68.0,0,2.668382,11.0,0,16.495455,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3640.0,0,0.049849,12.0,0,0,3640.0,0,0.049849,0,0,0,0.0,0,0,0.0,0,0,2750.0,1097.0,628.0,453.0,,,,68.0,male,CS
[ALC] Spedini,120236148302980087,OUTCOME_AWARENESS,2025-11-04,656,401,1.63591,0,0.0,0.0,1.814024,1.19,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,19.0,0,0.062632,0.0,0,0,19.0,0,0.062632,0,0,0,0.0,0,0,0.0,0,0,15.0,7.0,5.0,4.0,,,,0.0,unknown,CS
[ENG] Post Foto Papai Noel,120236148415870087,OUTCOME_ENGAGEMENT,2025-11-04,64170,40511,1.584014,868,1.352657,0.353721,4.784635,307.03,155.0,0,1.980839,53.0,0,5.793019,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,25378.0,0,0.012098,924.0,0,0,25378.0,0,0.012098,0,0,0,0.0,0,0,0.0,0,0,20007.0,11610.0,7732.0,2977.0,,,,155.0,female,CS
[ENG] Post Foto Papai Noel,120236148415870087,OUTCOME_ENGAGEMENT,2025-11-04,10003,6930,1.443434,144,1.439568,0.290625,4.183745,41.85,28.0,0,1.494643,7.0,0,5.978571,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3441.0,0,0.012162,138.0,0,0,3442.0,0,0.012159,0,0,0,0.0,0,0,0.0,0,0,2602.0,1487.0,964.0,363.0,,,,28.0,male,CS
[ENG] Post Foto Papai Noel,120236148415870087,OUTCOME_ENGAGEMENT,2025-11-04,199,142,1.401408,4,2.01005,0.2775,5.577889,1.11,1.0,0,1.11,1.0,0,1.11,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,75.0,0,0.0148,3.0,0,0,75.0,0,0.0148,0,0,0,0.0,0,0,0.0,0,0,53.0,36.0,29.0,16.0,,,,1.0,unknown,CS
[ENG] Decoração de Natal,120236148469040087,OUTCOME_ENGAGEMENT,2025-11-04,40382,21772,1.854768,915,2.265861,0.189508,4.293992,173.4,115.0,0,1.507826,39.0,0,4.446154,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,16348.0,0,0.010607,373.0,0,0,16356.0,0,0.010602,0,0,0,0.0,0,0,0.0,0,0,8195.0,4941.0,3311.0,2779.0,,,,115.0,female,CS
[ENG] Decoração de Natal,120236148469040087,OUTCOME_ENGAGEMENT,2025-11-04,8352,5159,1.618918,127,1.520594,0.227638,3.461446,28.91,14.0,0,2.065,4.0,0,7.2275,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2503.0,0,0.01155,51.0,0,0,2503.0,0,0.01155,0,0,0,0.0,0,0,0.0,0,0,1238.0,790.0,577.0,496.0,,,,14.0,male,CS
[ENG] Decoração de Natal,120236148469040087,OUTCOME_ENGAGEMENT,2025-11-04,117,80,1.4625,3,2.564103,0.103333,2.649573,0.31,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,41.0,0,0.007561,1.0,0,0,41.0,0,0.007561,0,0,0,0.0,0,0,0.0,0,0,15.0,10.0,5.0,3.0,,,,0.0,unknown,CS
[ALC] Vídeo Promo Natal 25 Sara,120236328658450087,OUTCOME_AWARENESS,2025-11-04,27909,22338,1.249396,32,0.114658,1.510938,1.732416,48.35,17.0,0,2.844118,3.0,0,16.116667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1069.0,0,0.045229,5.0,0,0,1069.0,0,0.045229,0,0,0,0.0,0,0,0.0,0,0,126.0,22.0,12.0,3.0,,,,17.0,female,CS
