campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,gender,shopping
[ALC] Vídeo Promo Natal 25 Sara,120236328658450087,OUTCOME_AWARENESS,2025-11-04,26958,21558,1.250487,30,0.111284,1.556667,1.732324,46.7,21.0,0,2.22381,3.0,0,15.566667,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1153.0,0,0.040503,5.0,0,0,1153.0,0,0.040503,0,0,0,0.0,0,0,0.0,0,0,122.0,33.0,17.0,8.0,,,,21.0,male,CS
[ALC] Vídeo Promo Natal 25 Sara,120236328658450087,OUTCOME_AWARENESS,2025-11-04,161,131,1.229008,0,0.0,0.0,2.049689,0.33,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7.0,0,0.047143,0.0,0,0,7.0,0,0.047143,0,0,0,0.0,0,0,0.0,0,0,4.0,1.0,,,,,,0.0,unknown,CS
[ENG] Encontro Pet,120236405335330087,OUTCOME_ENGAGEMENT,2025-11-04,14047,7974,1.7616,421,2.997081,0.362423,10.862106,152.58,86.0,0,1.774186,20.0,0,7.629,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1021.0,0,0.149442,867.0,0,0,1021.0,0,0.149442,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,86.0,female,CS
[ENG] Encontro Pet,120236405335330087,OUTCOME_ENGAGEMENT,2025-11-04,3557,2148,1.655959,125,3.514197,0.3636,12.777622,45.45,20.0,0,2.2725,4.0,0,11.3625,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,331.0,0,0.137311,297.0,0,0,331.0,0,0.137311,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,20.0,male,CS
[ENG] Encontro Pet,120236405335330087,OUTCOME_ENGAGEMENT,2025-11-04,92,59,1.559322,3,3.26087,0.63,20.543478,1.89,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,8.0,0,0.23625,8.0,0,0,8.0,0,0.23625,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,unknown,CS
[TFG] Narbona - Jazz,120236413078750087,LINK_CLICKS,2025-11-04,12474,8587,1.452661,335,2.685586,0.289582,7.776976,97.01,253.0,0,0.383439,82.0,0,1.183049,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,278.0,0,0.348957,24.0,0,0,279.0,0,0.347706,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,253.0,female,CS
[TFG] Narbona - Jazz,120236413078750087,LINK_CLICKS,2025-11-04,7212,5138,1.403659,189,2.620632,0.27,7.075707,51.03,142.0,0,0.359366,43.0,0,1.186744,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,152.0,0,0.335724,8.0,0,0,152.0,0,0.335724,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,142.0,male,CS
[TFG] Narbona - Jazz,120236413078750087,LINK_CLICKS,2025-11-04,45,26,1.730769,0,0.0,0.0,8.0,0.36,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,unknown,CS
[ALC] Horário Black,120236465660000087,OUTCOME_AWARENESS,2025-11-04,31972,24052,1.329287,74,0.231453,0.945,2.187226,69.93,39.0,0,1.793077,1.0,0,69.93,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,49.0,0,1.427143,10.0,0,0,49.0,0,1.427143,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,39.0,female,CS
[ALC] Horário Black,120236465660000087,OUTCOME_AWARENESS,2025-11-04,59017,41143,1.434436,87,0.147415,1.478966,2.180219,128.67,48.0,0,2.680625,7.0,0,18.381429,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,58.0,0,2.218448,10.0,0,0,58.0,0,2.218448,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,48.0,male,CS
[ALC] Horário Black,120236465660000087,OUTCOME_AWARENESS,2025-11-04,387,292,1.325342,0,0.0,0.0,2.067183,0.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,unknown,CS
[ALC] Eventos de Natal,120236497340300087,OUTCOME_AWARENESS,2025-11-04,39447,32509,1.213418,92,0.233224,0.918913,2.143129,84.54,50.0,0,1.6908,7.0,0,12.077143,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,147.0,0,0.575102,15.0,0,0,147.0,0,0.575102,0,0,0,0.0,0,0,0.0,0,0,80.0,33.0,17.0,9.0,,,,50.0,female,CS
[ALC] Eventos de Natal,120236497340300087,OUTCOME_AWARENESS,2025-11-04,52670,42780,1.231183,79,0.149991,1.450253,2.175242,114.57,42.0,0,2.727857,5.0,0,22.914,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,210.0,0,0.545571,14.0,0,0,210.0,0,0.545571,0,0,0,0.0,0,0,0.0,0,0,165.0,59.0,27.0,13.0,,,,41.0,male,CS
[ALC] Eventos de Natal,120236497340300087,OUTCOME_AWARENESS,2025-11-04,408,347,1.175793,1,0.245098,0.88,2.156863,0.88,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.88,0.0,0,0,1.0,0,0.88,0,0,0,0.0,0,0,0.0,0,0,1.0,,,,,,,0.0,unknown,CS
ALC - NATAL 25,120235302545560087,OUTCOME_AWARENESS,2025-12-01,1176012,411275,2.85943,1792,0.152379,0.947353,1.443571,1697.656634,1268.0,0,1.338846,2.0,0,848.828317,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,35178.0,0,0.048259,90.0,0,0,35178.0,0,0.048259,0,0,0,0.0,0,0,0.0,0,0,21081.0,9143.0,4066.0,2841.0,,,,1268.0,female,CS
ALC - NATAL 25,120235302545560087,OUTCOME_AWARENESS,2025-12-01,654318,263502,2.483161,871,0.133116,1.026593,1.366556,894.1625,565.0,0,1.582589,2.0,0,447.08125,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,26426.0,0,0.033836,65.0,0,0,26426.0,0,0.033836,0,0,0,0.0,0,0,0.0,0,0,15979.0,6110.0,2996.0,1965.0,,,,563.0,male,CS
ALC - NATAL 25,120235302545560087,OUTCOME_AWARENESS,2025-12-01,6654,2731,2.43647,7,0.1052,1.341552,1.411311,9.390866,3.0,0,3.130289,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,283.0,0,0.033183,0.0,0,0,283.0,0,0.033183,0,0,0,0.0,0,0,0.0,0,0,155.0,73.0,38.0,29.0,,,,3.0,unknown,CS
TRAF - NATAL 25,120235302629640087,LINK_CLICKS,2025-12-01,158450,62356,2.541055,3722,2.349006,0.307005,7.211568,1142.672938,2439.0,0,0.468501,16.0,0,71.417059,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,18737.0,0,0.060985,265.0,0,0,18738.0,0,0.060982,0,0,0,0.0,0,0,0.0,0,0,9640.0,4668.0,2918.0,2094.0,,,,2421.0,female,CS
