campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,publisher_platform,platform_position,shopping,video_p25,video_p50,video_p75,video_p100
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,34,34,1.0,0,0.0,0.0,1.759053,0.059808,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3.0,0,0.019936,0.0,0,0,3.0,0,0.019936,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_profile_feed,CS,2.0,1.0,1.0,1.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,15850,11420,1.387916,34,0.214511,0.650556,1.395515,22.118915,1.0,0,22.118915,1.0,0,22.118915,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,914.0,0,0.0242,21.0,0,0,914.0,0,0.0242,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,facebook,facebook_reels,CS,316.0,115.0,77.0,34.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,48,48,1.0,0,0.0,0.0,1.453662,0.069776,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0.069776,0.0,0,0,1.0,0,0.069776,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels_overlay,CS,1.0,,,
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,447,398,1.123116,0,0.0,0.0,1.44948,0.647918,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,0.064792,0.0,0,0,10.0,0,0.064792,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_stories,CS,3.0,1.0,,
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,13790,11270,1.223602,55,0.39884,0.341086,1.360385,18.759711,3.0,0,6.253237,2.0,0,9.379855,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1428.0,0,0.013137,6.0,0,0,1429.0,0,0.013128,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,facebook,feed,CS,596.0,247.0,144.0,83.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,instream_video,CS,,,,
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,16814,12011,1.399883,15,0.089211,1.568958,1.399689,23.534366,14.0,0,1.681026,1.0,0,23.534366,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2154.0,0,0.010926,0.0,0,0,2154.0,0,0.010926,0,0,0,0.0,0,0,0.0,0,0,,,,14.0,facebook,marketplace,CS,583.0,180.0,89.0,56.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,1797,1698,1.058304,3,0.166945,0.760888,1.270264,2.282664,3.0,0,0.760888,1.0,0,2.282664,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,549.0,0,0.004158,0.0,0,0,549.0,0,0.004158,0,0,0,0.0,0,0,0.0,0,0,,,,3.0,facebook,search,CS,133.0,38.0,16.0,7.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,2,2,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,video_feeds,CS,,,,
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,6650,5997,1.108888,11,0.165414,0.878087,1.452475,9.658958,5.0,0,1.931792,1.0,0,9.658958,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,576.0,0,0.016769,5.0,0,0,576.0,0,0.016769,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,instagram,feed,CS,164.0,53.0,25.0,16.0
