campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,age,shopping
ALC - Poker NK,120238895400210157,OUTCOME_AWARENESS,2026-03-01,4770,3770,1.265252,19,0.398323,0.284211,1.132075,5.4,1.0,0,5.4,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,515.0,0,0.010485,1.0,0,0,515.0,0,0.010485,0,0,0,0.0,0,0,0.0,0,0,122.0,42.0,24.0,10.0,,,,0.0,45-54,NK
ALC - Poker NK,120238895400210157,OUTCOME_AWARENESS,2026-03-01,3829,3065,1.249266,15,0.391747,0.297333,1.164795,4.46,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,549.0,0,0.008124,1.0,0,0,549.0,0,0.008124,0,0,0,0.0,0,0,0.0,0,0,122.0,38.0,23.0,11.0,,,,0.0,55-64,NK
ALC - Poker NK,120238895400210157,OUTCOME_AWARENESS,2026-03-01,1899,1608,1.18097,6,0.315956,0.386667,1.221696,2.32,1.0,0,2.32,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,286.0,0,0.008112,0.0,0,0,286.0,0,0.008112,0,0,0,0.0,0,0,0.0,0,0,57.0,15.0,5.0,2.0,,,,0.0,65+,NK
ENG - POKER,120238895417590157,OUTCOME_ENGAGEMENT,2026-03-01,3055,1915,1.5953,4,0.130933,4.094533,5.361091,16.378132,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,270.0,0,0.06066,116.0,0,0,270.0,0,0.06066,0,0,0,0.0,0,0,0.0,0,0,55.0,23.0,15.0,14.0,,,,0.0,18-24,NK
ENG - POKER,120238895417590157,OUTCOME_ENGAGEMENT,2026-03-01,1582,1031,1.534433,8,0.505689,1.144318,5.786691,9.154545,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,173.0,0,0.052916,65.0,0,0,173.0,0,0.052916,0,0,0,0.0,0,0,0.0,0,0,30.0,11.0,7.0,5.0,,,,0.0,25-34,NK
ENG - POKER,120238895417590157,OUTCOME_ENGAGEMENT,2026-03-01,520,362,1.436464,7,1.346154,0.470233,6.330066,3.291634,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,73.0,0,0.045091,25.0,0,0,73.0,0,0.045091,0,0,0,0.0,0,0,0.0,0,0,11.0,5.0,5.0,1.0,,,,0.0,35-44,NK
ENG - POKER,120238895417590157,OUTCOME_ENGAGEMENT,2026-03-01,494,335,1.474627,15,3.036437,0.210771,6.399939,3.16157,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,107.0,0,0.029547,27.0,0,0,107.0,0,0.029547,0,0,0,0.0,0,0,0.0,0,0,20.0,10.0,5.0,2.0,,,,0.0,45-54,NK
ENG - POKER,120238895417590157,OUTCOME_ENGAGEMENT,2026-03-01,624,401,1.55611,22,3.525641,0.180544,6.36534,3.971972,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,187.0,0,0.02124,39.0,0,0,187.0,0,0.02124,0,0,0,0.0,0,0,0.0,0,0,30.0,12.0,8.0,3.0,,,,0.0,55-64,NK
ENG - POKER,120238895417590157,OUTCOME_ENGAGEMENT,2026-03-01,630,409,1.540342,29,4.603175,0.14904,6.860549,4.322146,1.0,0,4.322146,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,232.0,0,0.01863,47.0,0,0,232.0,0,0.01863,0,0,0,0.0,0,0,0.0,0,0,55.0,19.0,12.0,8.0,,,,0.0,65+,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,22532,14062,1.602333,8,0.035505,3.220271,1.143359,25.762165,3.0,0,8.587388,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,967.0,0,0.026641,1.0,0,0,967.0,0,0.026641,0,0,0,0.0,0,0,0.0,0,0,95.0,14.0,6.0,4.0,,,,1.0,18-24,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,24291,15286,1.589101,19,0.078218,1.414329,1.106264,26.872259,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1602.0,0,0.016774,2.0,0,0,1602.0,0,0.016774,0,0,0,0.0,0,0,0.0,0,0,132.0,29.0,17.0,9.0,,,,0.0,25-34,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,17720,11174,1.585824,24,0.13544,0.83132,1.125941,19.951677,2.0,0,9.975839,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1762.0,0,0.011323,2.0,0,0,1762.0,0,0.011323,0,0,0,0.0,0,0,0.0,0,0,150.0,41.0,28.0,12.0,,,,0.0,35-44,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,16939,9916,1.708249,29,0.171203,0.655917,1.122947,19.021599,1.0,0,19.021599,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1829.0,0,0.0104,3.0,0,0,1829.0,0,0.0104,0,0,0,0.0,0,0,0.0,0,0,138.0,40.0,24.0,14.0,,,,0.0,45-54,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,15604,9221,1.692224,31,0.198667,0.557789,1.108142,17.291453,1.0,0,17.291453,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1686.0,0,0.010256,9.0,0,0,1686.0,0,0.010256,0,0,0,0.0,0,0,0.0,0,0,140.0,42.0,31.0,22.0,,,,0.0,55-64,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,8979,5649,1.589485,23,0.256153,0.437863,1.1216,10.070847,1.0,0,10.070847,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1057.0,0,0.009528,7.0,0,0,1057.0,0,0.009528,0,0,0,0.0,0,0,0.0,0,0,88.0,25.0,9.0,3.0,,,,0.0,65+,NK
ALC - General Ly,120238922807440157,OUTCOME_AWARENESS,2026-03-01,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,Unknown,NK
ALC - Exposição Telomar,120238922924330157,OUTCOME_AWARENESS,2026-03-01,34100,22994,1.482996,16,0.046921,2.405,1.128446,38.48,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1183.0,0,0.032527,3.0,0,0,1183.0,0,0.032527,0,0,0,0.0,0,0,0.0,0,0,291.0,94.0,52.0,42.0,,,,0.0,18-24,NK
ALC - Exposição Telomar,120238922924330157,OUTCOME_AWARENESS,2026-03-01,32738,22253,1.471172,5,0.015273,7.3,1.114912,36.5,1.0,0,36.5,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1398.0,0,0.026109,4.0,0,0,1398.0,0,0.026109,0,0,0,0.0,0,0,0.0,0,0,305.0,90.0,43.0,33.0,,,,1.0,25-34,NK
