shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,0,MONDAY,811,0,0.0,4.441872,20.0,0.0
GERAL,GERAL,0,MONDAY,699,0,0.0,3.898263,11.0,0.0
GERAL,GERAL,0,MONDAY,61,3,0.04918032786885246,0.124669,1.0,0.0
GERAL,GERAL,0,MONDAY,53,0,0.0,0.182424,2.0,0.0
GERAL,GERAL,0,MONDAY,961,1,0.001040582726326743,2.824476,18.0,0.0
GERAL,GERAL,0,MONDAY,1697,6,0.0035356511490866236,5.128791,3.0,0.0
GERAL,GERAL,0,MONDAY,1946,4,0.0020554984583761563,6.05361,3.0,0.0
GERAL,GERAL,0,MONDAY,151,3,0.019867549668874173,1.039096,0.0,0.0
GERAL,GERAL,0,MONDAY,45,15,0.3333333333333333,1.987363,3.400004,0.0
GERAL,GERAL,0,MONDAY,15,2,0.13333333333333333,1.80181,0.0,0.0
GERAL,GERAL,0,MONDAY,2416,78,0.03228476821192053,14.332767,4.113854,0.113854
GERAL,GERAL,0,MONDAY,450,3,0.006666666666666667,2.296185,7.0,0.0
GERAL,GERAL,0,MONDAY,1722,2,0.0011614401858304297,5.342672,42.0,0.0
GERAL,GERAL,0,MONDAY,1100,1,0.0009090909090909091,3.390583,18.0,0.0
GERAL,GERAL,0,MONDAY,1398,1,0.000715307582260372,4.632374,1.0,0.0
GERAL,GERAL,0,MONDAY,1063,1,0.0009407337723424271,4.811979,3.0,0.0
GERAL,GERAL,0,MONDAY,17,2,0.11764705882352941,2.679722,2.0,0.0
GERAL,GERAL,0,MONDAY,15,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,MONDAY,31,2,0.06451612903225806,4.522538,1.0,0.0
GERAL,GERAL,0,MONDAY,4184,106,0.025334608030592735,23.372096,4.0,0.0
GERAL,GERAL,0,MONDAY,2895,68,0.023488773747841106,20.001153,5.0,0.0
GERAL,GERAL,0,MONDAY,1957,2,0.001021972406745018,5.876785,41.0,0.0
GERAL,GERAL,0,MONDAY,2804,1,0.0003566333808844508,8.083134,51.0,0.0
GERAL,GERAL,0,MONDAY,1561,0,0.0,4.592558,3.0,0.0
GERAL,GERAL,0,MONDAY,1900,0,0.0,6.862645,5.0,0.0
GERAL,GERAL,0,MONDAY,2939,83,0.02824089826471589,29.435639,4.0,0.0
GERAL,GERAL,0,MONDAY,781,17,0.02176696542893726,2.909031,3.0,0.0
GERAL,GERAL,0,MONDAY,31,2,0.06451612903225806,3.133592,0.0,0.0
GERAL,GERAL,0,MONDAY,3507,97,0.02765896777872826,26.507499,3.0,0.0
GERAL,GERAL,0,TUESDAY,664,209,0.3147590361445783,15.596007,120.05412,0.0
GERAL,GERAL,0,TUESDAY,323,107,0.33126934984520123,5.650475,65.374604,0.0
GERAL,GERAL,0,TUESDAY,1005,413,0.4109452736318408,17.367196,155.719281,0.0
GERAL,GERAL,0,TUESDAY,594,188,0.3164983164983165,5.711436,72.229168,1.0
GERAL,GERAL,0,TUESDAY,331,47,0.1419939577039275,9.702149,45.507936,0.0
GERAL,GERAL,0,TUESDAY,1117,271,0.24261414503133394,4.409154,105.551948,0.0
GERAL,GERAL,0,TUESDAY,38,1,0.02631578947368421,4.258705,0.0,0.0
GERAL,GERAL,0,TUESDAY,1017,90,0.08849557522123894,38.052314,26.0,0.0
GERAL,GERAL,0,TUESDAY,744,78,0.10483870967741936,39.778389,28.0,0.0
GERAL,GERAL,0,TUESDAY,1125,94,0.08355555555555555,41.72175,29.0,0.0
GERAL,GERAL,0,TUESDAY,939,82,0.08732694355697551,32.603925,29.0,0.0
GERAL,GERAL,0,TUESDAY,1270,96,0.07559055118110236,43.176757,26.0,0.0
GERAL,GERAL,0,TUESDAY,1004,89,0.08864541832669323,43.505701,26.0,0.0
GERAL,GERAL,0,TUESDAY,184,1,0.005434782608695652,0.526726,0.0,0.0
GERAL,GERAL,0,TUESDAY,38,2,0.05263157894736842,9.56,0.0,0.0
GERAL,GERAL,0,TUESDAY,896,5,0.005580357142857143,2.469977,15.0,0.0
GERAL,GERAL,0,TUESDAY,591,6,0.01015228426395939,1.163293,17.0,0.0
GERAL,GERAL,0,TUESDAY,636,8,0.012578616352201259,1.642371,6.0,0.0
GERAL,GERAL,0,TUESDAY,1287,9,0.006993006993006993,3.528271,28.0,0.0
GERAL,GERAL,0,TUESDAY,168,3,0.017857142857142856,1.404515,0.0,0.0
GERAL,GERAL,0,TUESDAY,18,1,0.05555555555555555,0.111783,0.0,0.0
GERAL,GERAL,0,TUESDAY,1841,5,0.0027159152634437804,4.689037,30.0,0.0
GERAL,GERAL,0,TUESDAY,466,1,0.002145922746781116,1.593118,12.0,0.0
GERAL,GERAL,0,TUESDAY,19,0,0.0,0.523683,0.0,0.0
GERAL,GERAL,0,TUESDAY,9,2,0.2222222222222222,4.177398,0.0,0.0
