shopping,shopping_sigla,campanha,audiencia,data,impressoes,cliques,custo,conversoes,valor_conversoes
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-24,10,1,20.11,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),47984193746,2025-05-24,3,1,17.92,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-24,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-24,10,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-24,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-24,5,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-24,8,1,3.14,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-24,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565815,2025-05-24,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-24,16,1,3.32,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-24,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-24,8,1,4.13,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-24,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),106076935048,2025-05-24,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-24,26,1,2.67,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565735,2025-05-24,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565815,2025-05-24,5,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),374556130747,2025-05-24,5,1,3.66,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),2454117862687,2025-05-24,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-24,9,3,0.501969,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),47984193746,2025-05-24,4,1,2.82,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-24,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-24,6,2,4.08,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-24,4,1,3.555387,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-24,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-24,6,2,4.15,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-24,5,1,3.405,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-24,42,1,6.46,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-24,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-24,26,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256463,2025-05-24,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-24,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-24,36,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-24,35,1,1.7,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-24,38,1,5.78,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-24,27,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-24,47,1,4.89,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565735,2025-05-24,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-24,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),388819324458,2025-05-24,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),2454117862687,2025-05-24,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-25,17,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-25,12,1,0.61,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-25,7,1,1.85,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-25,11,1,4.413048,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-25,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-25,21,1,1.85,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-25,11,3,15.02,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-25,15,1,1.91,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565735,2025-05-25,1,0,0.0,0.0,0.0
