shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2025-07-04,125916,2519,0.020005400425680612,0.4182628086542279,1053.604015,3401.048962,0.0,0.0,0.3097879585892301,0.1723801665291426
GERAL,GERAL,2025-07-05,124973,3384,0.027077848815344113,0.3593991510047281,1216.206727,4153.160399,2.0,0.0016444572749020818,0.2928388528631928,0.19095668450761896
GERAL,GERAL,2025-07-06,120095,3295,0.027436612681627046,0.34351764370257964,1131.890636,3123.158164,0.0,0.0,0.36241860852488034,0.15431531051841813
GERAL,GERAL,2025-07-07,128002,2363,0.018460649052358558,0.4556112530681337,1076.609391,2655.772237,0.0,0.0,0.4053846847258837,0.16612480335605664
GERAL,GERAL,2025-07-08,140880,2825,0.02005252697331062,0.39409646088495576,1113.322502,3421.358828,0.0,0.0,0.3254036065696176,0.19083223586388548
GERAL,GERAL,2025-07-09,138277,2947,0.02131229343997917,0.36773376688157444,1083.711411,3436.366082,0.0,0.0,0.31536553008033097,0.17092303669484876
GERAL,GERAL,2025-07-10,141095,2831,0.020064495552641837,0.3890221126810315,1101.321601,3327.972328,0.0,0.0,0.33092871347937486,0.1593812421610071
GERAL,GERAL,2025-07-11,139098,2983,0.02144531193834563,0.33432800435802884,997.300437,3916.157629,0.0,0.0,0.2546629966104462,0.1554516882907567
GERAL,GERAL,2025-07-12,140726,4453,0.03164305103534528,0.29215444823714354,1300.963758,4920.132316,0.0,0.0,0.2644164169669457,0.14594393714164366
GERAL,GERAL,2025-07-13,132866,4362,0.03283006939322325,0.3032855623567171,1322.931623,3642.233029,1.0,0.0007558969659613315,0.36321992922106355,0.16138032776370226
GERAL,GERAL,2025-07-14,142346,2967,0.020843578323240554,0.3584632686215032,1063.560518,3452.239673,2.0,0.0018804759730654086,0.30807841249207496,0.16580506871769007
GERAL,GERAL,2025-07-15,133430,2717,0.020362737015663643,0.37072401656238496,1007.257153,3438.793613,2.0,0.00198559026763248,0.2929100336793024,0.1794140642965552
GERAL,GERAL,2025-07-16,130368,2644,0.02028105056455572,0.3843027080181543,1016.09636,3506.271655,1.0,0.0009841586284198478,0.2897939634971039,0.17391516571484356
GERAL,GERAL,2025-07-17,653330,4343,0.006647482895320894,0.4526024027170159,1965.652235,5264.839549,1.0,0.0005087369892772512,0.37335463250221074,0.1848943184021718
GERAL,GERAL,2025-07-18,831703,5789,0.00696041736052413,0.43656596303333906,2527.28036,7877.987853,1.0,0.00039568225822005754,0.32080277440864446,0.18320540090631648
GERAL,GERAL,2025-07-19,1024895,7938,0.007745183652959571,0.47494287881078356,3770.096572,8663.537334,5.0,0.0013262259744576113,0.4351682721103167,0.1629432685335451
GERAL,GERAL,2025-07-20,833612,8015,0.009614784815957544,0.3503558193387398,2808.101892,6697.879368,2.001316,0.0007126935121911167,0.41925238388378216,0.18922603513418768
