shopping,shopping_sigla,campanha_id,campanha,tipo_canal,data,impressoes,alcance,frequencia,custo,cliques,conversoes
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-06,581,304,1.9111842105263157,21.409528,40,18.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-07,1527,744,2.0524193548387095,21.5248,73,30.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-08,771,338,2.2810650887573964,20.771182,41,17.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-09,236,131,1.8015267175572518,11.350339,30,16.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-10,240,141,1.702127659574468,10.979816,19,7.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-11,316,162,1.9506172839506173,10.09904,15,4.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-12,647,388,1.6675257731958764,10.466375,34,22.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-13,223,148,1.5067567567567568,9.872526,19,4.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-14,180,108,1.6666666666666667,10.573687,21,10.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-15,144,103,1.3980582524271845,9.883469,14,5.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-16,236,150,1.5733333333333333,10.355606,17,6.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-17,375,209,1.7942583732057416,9.866688,19,3.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-18,132,87,1.5172413793103448,10.152437,19,5.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-19,378,188,2.0106382978723403,10.557672,19,7.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-20,577,306,1.8856209150326797,9.563801,37,12.0
GERAL,GERAL,21741027756,[APP INSTAL - GS],MULTI_CHANNEL,2025-06-21,599,350,1.7114285714285715,9.846092,31,12.0
